Region,Parameter,R2,MAE,Samples
K: 20-30 | T1: 1-10,Kd,0.9606370329856873,2017.365478515625,85
K: 10-20 | T1: T1<1,Kd,0.8153879642486572,2687.667724609375,47
K: K<1 | T1: 30-75,Kd,0.7425127029418945,6667.61279296875,204
K: K<1 | T1: 10-30,Kd,0.715390682220459,5810.38671875,487
K: >30 | T1: T1<1,Kd,0.6746920347213745,5000.10986328125,135
K: K<1 | T1: 1-10,Kd,0.6713472604751587,12490.5107421875,101
K: 1-5 | T1: 1-10,Kd,0.6454423069953918,6347.49462890625,189
K: >30 | T1: 1-10,Kd,0.6352013349533081,6428.3125,113
K: 1-5 | T1: 10-30,Kd,0.6216094493865967,8587.74609375,204
K: 10-20 | T1: 1-10,Kd,0.617840051651001,7608.228515625,216
K: 20-30 | T1: T1<1,Kd,0.4711916446685791,9740.82421875,70
K: 5-10 | T1: 1-10,Kd,0.4062756299972534,6059.5302734375,127
K: 5-10 | T1: T1<1,Kd,0.3509204387664795,9782.666015625,20
K: 20-30 | T1: 1-10,Ki,0.9375907182693481,1684.326416015625,85
K: 10-20 | T1: T1<1,Ki,0.7887711524963379,2177.3662109375,47
K: K<1 | T1: 30-75,Ki,0.7571114897727966,3949.163330078125,204
K: K<1 | T1: 10-30,Ki,0.7013429403305054,3624.63232421875,487
K: K<1 | T1: 1-10,Ki,0.6839073896408081,7135.0771484375,101
K: >30 | T1: T1<1,Ki,0.6657000780105591,3022.162841796875,135
K: >30 | T1: 1-10,Ki,0.6582775115966797,3635.658935546875,113
K: 1-5 | T1: 1-10,Ki,0.6271975040435791,3918.0380859375,189
K: 1-5 | T1: 10-30,Ki,0.6136894226074219,5088.0771484375,204
K: 10-20 | T1: 1-10,Ki,0.6094471216201782,4551.564453125,216
K: 20-30 | T1: T1<1,Ki,0.5119814276695251,5052.7314453125,70
K: 5-10 | T1: T1<1,Ki,0.503026008605957,5260.60791015625,20
K: 5-10 | T1: 1-10,Ki,0.32710564136505127,3781.0458984375,127
K: 20-30 | T1: 1-10,Kp,0.9586246013641357,3437.7666015625,85
K: 10-20 | T1: T1<1,Kp,0.7983552813529968,4524.22802734375,47
K: K<1 | T1: 30-75,Kp,0.7508472204208374,10102.912109375,204
K: K<1 | T1: 10-30,Kp,0.7106750011444092,8993.5849609375,487
K: K<1 | T1: 1-10,Kp,0.6772134900093079,18840.9921875,101
K: >30 | T1: T1<1,Kp,0.6649483442306519,7684.693359375,135
K: >30 | T1: 1-10,Kp,0.6485432386398315,9485.671875,113
K: 1-5 | T1: 1-10,Kp,0.633558988571167,9763.77734375,189
K: 1-5 | T1: 10-30,Kp,0.6174522042274475,12990.0341796875,204
K: 10-20 | T1: 1-10,Kp,0.6144471764564514,11578.748046875,216
K: 20-30 | T1: T1<1,Kp,0.48902392387390137,14063.12890625,70
K: 5-10 | T1: T1<1,Kp,0.4166994094848633,14408.2783203125,20
K: 5-10 | T1: 1-10,Kp,0.3647051453590393,9397.5908203125,127
