Target,MAE,MSE,R2
Kp,0.2510597265657759,0.13726647791485397,0.7021527076898613
Ki,0.09245741535890531,0.020798196789864828,0.7179978970343035
Kd,0.23345170402585907,0.07748896602460878,0.027083779108236228
