y_true_orig,y_pred_orig,abs_error,rel_error_percent
53.002033,11.62424,41.377792,78.06831
46.16337,10.113679,36.04969,78.09155
39.765728,6.373583,33.392143,83.97217
54.263996,23.836637,30.427359,56.07283
39.067047,10.395429,28.67162,73.3908
42.319527,13.665479,28.654049,67.70881
39.449974,11.3351345,28.11484,71.26707
41.733078,15.654604,26.078474,62.48874
46.930153,24.478518,22.451635,47.840534
32.26672,10.017426,22.249294,68.95431
29.278536,8.529885,20.74865,70.86642
50.74083,31.008286,19.732544,38.888885
22.407,5.934599,16.4724,73.514534
19.377693,5.928935,13.448758,69.4033
19.812643,7.5665293,12.246114,61.80959
34.019024,22.989622,11.029402,32.421276
18.539862,7.83539,10.704472,57.737602
24.81307,14.159992,10.653078,42.933334
15.682211,5.3632975,10.318913,65.80012
32.557976,22.747622,9.810354,30.131952
19.381424,10.026108,9.355316,48.269497
16.948406,7.7533083,9.195098,54.253464
16.750893,7.945878,8.805015,52.56445
20.391308,11.816056,8.575252,42.053463
13.13492,4.6457925,8.489128,64.630226
15.705251,7.4762697,8.228981,52.396366
13.530858,5.4983764,8.032482,59.364174
12.060723,4.1231394,7.937584,65.8135
16.94591,9.142328,7.803581,46.049942
15.742892,8.132094,7.610798,48.34434
16.206339,8.600746,7.6055927,46.92974
12.007931,4.4318743,7.5760565,63.092106
12.966607,5.545879,7.420728,57.22953
19.037428,11.735217,7.302211,38.35713
17.479385,10.348713,7.1306725,40.794758
12.80057,5.680523,7.1200466,55.622887
23.569231,16.665287,6.903944,29.29219
30.43503,23.746851,6.688179,21.975266
15.481094,8.865263,6.6158314,42.734905
21.199049,14.58472,6.6143293,31.201065
17.42385,11.045226,6.378623,36.608578
10.752057,4.462495,6.289562,58.496365
21.898058,15.670685,6.227373,28.438015
13.468958,7.3188925,6.1500654,45.661034
13.162466,7.04478,6.1176863,46.478268
14.129007,8.071045,6.0579624,42.87607
15.008084,8.9890175,6.019067,40.105495
16.818077,22.801958,5.983881,35.580055
28.486418,22.51837,5.968048,20.950504
18.74575,13.027087,5.718663,30.506453
11.0807705,16.772522,5.6917515,51.366028
10.588394,5.1276827,5.4607115,51.572613
8.298467,2.8878644,5.4106026,65.20003
14.907408,9.6494255,5.2579823,35.270935
10.652277,5.459141,5.193136,48.751415
13.634163,8.444053,5.19011,38.06695
3.6151443,8.79273,5.177586,143.21935
9.383675,4.224548,5.1591268,54.979813
7.9563737,2.910177,5.046197,63.42333
23.777176,28.755812,4.978636,20.938719
10.844066,6.0164847,4.827581,44.51818
7.1435747,2.3383117,4.805263,67.26692
15.178713,10.398285,4.780428,31.49429
8.8568735,4.2727447,4.584129,51.757866
16.501791,21.053,4.5512085,27.580088
9.62574,5.1054087,4.5203314,46.960873
10.026383,5.5659204,4.460463,44.48726
13.422463,8.979358,4.4431057,33.102013
7.266388,2.833263,4.433125,61.008648
7.6670537,3.5834837,4.08357,53.26127
7.6631775,3.6885357,3.9746418,51.866756
9.134197,5.1797843,3.954413,43.292397
3.6258767,7.5663414,3.9404647,108.67619
9.792144,5.899403,3.8927407,39.75371
6.6715674,2.881029,3.7905385,56.816315
11.84031,8.096909,3.7434015,31.615738
9.468355,13.205231,3.7368755,39.467
13.600898,9.873172,3.727726,27.40794
8.062506,11.768919,3.7064133,45.970985
4.6248584,8.287812,3.6629539,79.20142
11.299649,14.886282,3.5866327,31.741098
11.594918,8.072619,3.5222988,30.377954
10.535023,7.0567856,3.4782372,33.015945
6.0437927,2.5904808,3.453312,57.138157
10.003349,13.455967,3.4526176,34.514618
11.213343,7.905904,3.3074389,29.495567
5.269211,1.964675,3.3045359,62.714058
6.2364273,2.9550328,3.2813945,52.616573
5.5127134,2.2743034,3.23841,58.744392
10.47137,13.60886,3.1374903,29.962559
12.4362955,15.507277,3.070981,24.693697
5.6290483,2.5754013,3.053647,54.248016
5.2209754,2.1990469,3.0219285,57.880535
8.550959,5.6564584,2.8945003,33.850006
10.640311,7.7570887,2.8832226,27.097164
4.412728,1.5496068,2.863121,64.88325
6.036226,3.204433,2.8317928,46.913303
5.4387326,2.654289,2.7844436,51.196552
11.026871,8.275504,2.7513666,24.951471
10.861437,13.595941,2.7345037,25.176262
16.133211,18.835546,2.7023354,16.75014
7.3067865,10.007777,2.7009907,36.965508
4.7105274,2.0284472,2.6820803,56.938007
4.251812,6.920576,2.668764,62.76769
4.697422,7.365597,2.6681747,56.80083
8.994672,11.632655,2.6379833,29.328289
5.628371,2.994734,2.6336367,46.792168
3.237475,5.855501,2.6180263,80.866295
4.2791615,6.877098,2.5979366,60.71135
