K,T1,T2,Kp,Ki,Kd,ISE,SSE,RiseTime,SettlingTime,Overshoot,SystemType,SystemCategory,wc,PhaseMargin,DesignFocus
0.848264912039981,0.0889738593337833,0.163613682397402,2.98416986009496,17.6291219394789,0.126286348583768,1.5015015015015,0,2.40240240225178,2.94294294275844,6.26949603343974e-09,PT2_VeryFast,VeryFast,10,33.1142790200491,reference-tracking
4.29409517177979,1.52244236335317,1.91469662957402,0.221091743786587,0.106335857719269,0.106389708793878,1.88708461997838,0,4.63211838540748,11.9936000116738,5.5810026258069,PT2_Fast,Fast,0.374047204040206,52.7975430749359,reference-tracking
25.0560892383225,0.97246108455796,0.609676241659642,0.00697917132384087,0.0171959552944924,0,1.8526468699538,2.22044604925031e-16,4.47581062558891,9.82551940428557,3.35152231716638,PT2_HighGain,HighGain,0.395884282926212,52.7377329874455,reference-tracking
12.1725309466282,4.15266167274033,0,0.71287252723256,0.51420755653626,0,1.51035102580775,2.22044604925031e-16,2.27880045016117,4.97955472895183,5.42399191787444,PT1_Medium,Medium,2.18710925164043,31.8358857423399,balanced
3.45888101929934,0.481351850046142,0,1.30136557338794,5.71572981774232,0,1.50150150150151,1.11022302462516e-16,2.40240226886992,2.94294277936565,5.55828998383134e-06,PT1_VeryFast,VeryFast,10,59.4068843432063,balanced
8.79596364882167,24.6542379489971,12.3940111894678,0.767280562762616,0.0309014760273914,4.76287493088898,3.43889924188745,2.22044604925031e-16,10.7812276401219,47.0144708890744,7.29451590036609,PT2_Slow,Slow,0.150145787830063,57.1569250958279,balanced
1.26660530093006,0.400173774540302,0,1.86536435347574,9.43731509715031,0,1.50150150150159,2.22044604925031e-16,2.40240199778934,2.94294244729195,1.68420213775278e-05,PT1_VeryFast,VeryFast,6.88673603257364,27.6055686829205,disturbance-rejection
3.13983511583675,0.254240516781115,0.0249567709212916,0.238481695689938,1.67273499410734,0.00450559486129409,1.50150151584195,0,2.4022363981176,2.94273958769406,0.00691040585907299,PT2_VeryFast,VeryFast,4.06159534829909,41.986788517213,disturbance-rejection
1.08849329811806,0.355352368715086,0.0950806980081575,4.46879497218962,16.4529689153696,0.303442627986918,1.50150150150157,4.44089209850063e-16,2.40240277375338,2.94294339784789,0,PT2_VeryFast,VeryFast,10,55.8540134310933,reference-tracking
21.8902734839457,6.82159233097181,0,0.114618868167715,0.0304551646898536,0,1.7134168017449,3.33066907387547e-16,4.31920458185734,15.931167937461,6.42844077388562,PT1_HighGain,HighGain,0.412288876514718,39.6049762129695,balanced
3.01395332723653,157.772456291019,114.482374028016,3.70193784544269,0.0199175365194209,140.339712412898,18.3013807100946,7.48512363202281e-13,54.7740943123728,242.218624689819,11.015807519711,PT2_VerySlow,VerySlow,0.0273698235921584,37.2515109048753,disturbance-rejection
2.51081876716242,11.0643053551218,22.8675616921566,2.09492355068804,0.0917611785080029,10.389950196659,4.07660573636826,0,11.8816557064432,46.8865914832279,9.11673691735804,PT2_Slow,Slow,0.130163940454831,42.1901794717165,reference-tracking
7.42676174087929,0.633117853468235,0,0.815881456994302,2.81411877760329,0,1.50150150150153,2.22044604925031e-16,2.40240265351037,2.94294325055021,8.65973959207622e-13,PT1_Fast,Fast,10,56.6791406304529,balanced
6.29544413134813,12.7518151886095,15.9758262189345,0.938267580029134,0.0482428009173248,4.56205918289448,3.21776897289509,1.11022302462516e-16,9.45685078295659,38.4818887787147,9.09272411113262,PT2_Slow,Slow,0.165233640796173,43.8274560450448,disturbance-rejection
14.9570970229253,1.73327568765684,4.16171213170939,0.478293862716984,0.131784347567089,0.433976081636464,1.52128286629741,0,2.24762347886872,7.76746299935083,6.88633683483282,PT2_Medium,Medium,0.989674517433765,52.2461914517922,reference-tracking
1.81248478137682,0.43398785996254,0,1.16764167290398,4.93146917399794,0,1.50150150249122,2.22044604925031e-16,2.40235878947693,2.94288951710924,0.00181542097972276,PT1_Fast,Fast,5.63974406761357,33.7870814966489,disturbance-rejection
9.82051174209973,13.9428962956499,10.2972586836601,1.35824159663558,0.0927688935882584,4.97154855327673,1.82051901462205,2.22044604925031e-16,4.45337687703216,20.9589681116695,9.75740106503482,PT2_Slow,Slow,0.367295725019349,26.56249390293,reference-tracking
4.6583794645891,0.20930803569725,0.194252207717243,1.02085628914634,3.55899225945604,0.0732052423211025,1.5015015015015,2.22044604925031e-16,2.4024023916293,2.94294292974589,4.48430559352175e-07,PT2_VeryFast,VeryFast,10,58.4816515264035,balanced
1.38940763151545,0.371072392028724,0.121791002362358,0.767047067209277,2.62226189192062,0.0560929102016027,1.50150794371188,2.22044604925031e-16,2.40592628616556,2.94725970055281,2.66453525910038e-13,PT2_VeryFast,VeryFast,2.79426338562224,28.183801467208,disturbance-rejection
6.53741720559301,3.78530069856924,0,0.469988188245809,0.256382056989046,0,1.51642014192424,0,2.28398423376348,7.95720938762766,5.18471918012324,PT1_Medium,Medium,0.909023661415059,43.2083790513068,reference-tracking
41.8396645744484,3.18544444708871,0,0.0950880550130647,0.0707806963291023,0,1.52627175058552,0,2.20293459399585,5.53840045073699,9.05464052133926,PT1_HighGain,HighGain,1.38314859223466,37.2893340166323,disturbance-rejection
18.0650204967073,17.2659381205071,0,0.512482102605631,0.0948800845204989,0,1.58944517017159,0,2.67169252569241,16.3240540278835,8.99030838873347,PT1_Slow,Slow,0.561606100507105,49.927992890443,disturbance-rejection
