K,T1,T2,Kp,Ki,Kd,ISE,SSE,RiseTime,SettlingTime,Overshoot,SystemType
3.09920192880221,91.1527469527254,0,0.461913768394041,0.00918515129971049,0,25.9697749646026,1.17913936648062e-06,83.1458260126041,288.524366293711,6.08201197015794,PT1
61.6199433600756,198.329826598207,30.5023234740172,0.0287630031487481,0.000215041960487662,0.813956491495041,56.3191134979059,0.00260567988186933,185.551201056639,661.647596327634,7.04595678647431,PT2
186.312880490381,103.415798141817,0,0.0076836557847165,0.000134671649867918,0,29.4629024730271,4.35740944415564e-06,94.332419147439,327.321945607434,6.08151273659732,PT1
73.3995564818867,54.0024569272522,0,0.019503715152562,0.000654634658017374,0,15.3883848860791,1.03199560008704e-10,49.2583476444119,170.932147443891,6.08147224581865,PT1
114.437876974341,84.3216622801867,156.059327778664,0.0171447824516182,0.000103105092656371,0.619080454372055,63.1500711997984,0.00133667665133985,180.300220277147,586.969196213283,6.55022869902719,PT2
146.899327728534,63.556583901648,79.1815347881672,0.0152955468277238,0.000148470928356571,0.349149592598598,34.1648597237199,6.40902374782204e-06,98.3446670254426,314.396482627606,6.60309122141827,PT2
83.0937902370087,4.38348827391679,0,0.0172282915229147,0.00712389534367882,0,1.30320889829042,2.22044604925031e-16,4.02626069944604,13.8855511117329,6.03206761221824,PT1
115.272180447254,177.678868779301,65.4318945198856,0.0171725601027061,0.000105079239406586,0.701605812305137,58.9686137146954,0.00172363674396958,189.576530286295,641.776172246039,5.76966044181126,PT2
108.345986242137,148.843661890106,49.5063073174263,0.0171031716034295,0.000130887832111933,0.558719772068266,50.3738509061171,0.000823986378198471,162.466382523883,542.020126042267,5.75083510784669,PT2
97.5525024606328,192.924371757321,78.643207168705,0.0217421022235668,0.000116782262335537,1.01196662842046,62.7079855699313,0.00141453837790118,201.621848088592,682.37669453563,5.67904899478626,PT2
129.253201571544,90.0216789718946,0,0.0110756563438369,0.000223006504914463,0,25.6475947601145,1.12754208470012e-06,82.1142160437314,284.944309054387,6.08193328858357,PT1
31.7491920516633,123.902206714146,0,0.04508977865067,0.000659620629889835,0,35.2985887749338,4.29467370812731e-05,113.02854963277,392.018330718422,6.07741771130959,PT1
127.668461586244,116.301224671006,0,0.0112131377174937,0.000174758390405205,0,33.1333840928303,2.91590335157466e-05,106.091461737041,368.018380617701,6.07887241237413,PT1
151.719620805823,114.498827995819,0,0.00943558937429249,0.000149369923727299,0,32.6199584451678,2.4968784111401e-05,104.446903112183,362.328893051855,6.07928404863436,PT1
45.2898304415175,1.18303983388998,0,0.0316089512367612,0.0484290429275455,0,0.533430223140823,0,1.18542053192122,3.79556488340381,5.30487006200153,PT1
140.268810943552,85.3798052681084,196.04766917713,0.0149187741391031,7.62911609652833e-05,0.729343409503401,66.1708344559197,0.000877728726137783,212.457756012726,704.359670584572,5.43202765785182,PT2
71.4516348690436,9.78376410091658,175.973052918432,0.0225211724705734,0.000206876485494305,0.179847272546499,49.7123035055732,0.000875478849172717,158.054552445331,555.460462686651,5.90541256673323,PT2
13.4075365957113,45.8477530399074,128.870179906741,0.148808408468417,0.00127660128324676,4.33650324527817,41.934409356634,3.26699940000896e-05,135.557034851306,452.772948197424,5.69999327058905,PT2
110.368037114667,149.032715385223,0,0.0129708208950005,0.000157754231015937,0,42.4573200923256,0.00015579743631311,135.89358903937,472.435502829643,6.09850214343868,PT1
185.505146783068,79.8069388815181,26.9676463356105,0.0108869772155986,0.000154622344050667,0.191638332772469,25.2142201238741,1.1221270749262e-06,81.7259694312005,275.77275472041,5.8642986485171,PT2
123.000325895778,93.5618178021319,0,0.0116387012109229,0.000225476370786692,0,26.6559918461602,1.11292200000168e-06,85.3415101503798,296.149266572571,6.08196242741406,PT1
115.240710912088,23.4700126927256,82.4179556272258,0.0183661851809707,0.00027130117848468,0.300120900405256,23.6769211237504,7.02837209876073e-07,76.9942334796267,267.694897222809,6.28914198121684,PT2
26.8206527479638,11.8599032996479,0,0.0533754362878356,0.00815746948387994,0,3.39874592366568,1.11022302462516e-15,10.8313958220877,37.5486741897115,6.0738552805579,PT1
158.476538853367,18.3997015651114,84.0514163369613,0.0130455864612548,0.000205819192803948,0.180474975317817,22.9940474808877,4.4851155966974e-07,74.5867799184654,262.803226993426,6.49163692550732,PT2
198.858362713594,52.1245588483131,0,0.00719891294694466,0.000250333918441133,0,14.8535778839555,4.11048972637218e-12,47.5468491844545,164.987900918499,6.08179524711854,PT1
162.579163737473,83.0314720518417,0,0.00880533525353066,0.000192219890824963,0,23.6564821099036,4.17496205940004e-07,75.7391026283901,262.816803109381,6.08190340386709,PT1
76.4404373153961,153.258704556436,0,0.0187278368913619,0.00022149179147667,0,43.6611539496555,0.000251577107449275,139.717811466908,486.283493825281,6.10868886478977,PT1
137.334292401281,90.6986907468337,0,0.0104239372185658,0.000208317587270903,0,25.8404387660471,1.16339832079149e-06,82.7303178242918,287.087014840916,6.08206687503396,PT1
113.818598373162,48.3731571514355,13.9097848529705,0.0185465107656201,0.000464594657727207,0.178715172406056,13.9787444627188,4.4480863437002e-11,45.421302178673,157.614957216528,6.25388693161637,PT2
24.8381541347712,108.573959574621,7.98457930864966,0.0675650336834235,0.00103749003960278,0.621452244678513,29.1363634570364,7.21399104919307e-06,97.0672561833426,339.177306127292,6.81710273639669,PT2
130.870760230208,35.4291093410308,99.9919187580425,0.0152596357601011,0.000169050678252045,0.344358990361134,32.4623229407269,1.75283128271975e-05,104.968707762579,350.690675657251,5.70764369320071,PT2
