K,T1,T2,L,Kp,Ki,Kd,ISE,SSE,RiseTime,SettlingTime,Overshoot,SystemType,SystemCategory,wc,PhaseMargin,DesignFocus
3.4524011222013,4.61019135262559,3.34561660801434,2.32803819173504,0.170105366071291,0.00150345965396166,4.81154174806107,17.1498253276526,0.561720833809161,0.337721085050218,43.9942776085823,226.254091781046,PT2_VeryHighGain,VeryHighGain,1.01,58.2817063443489,disturbance-rejection
8.17900171833041,3.89178092425323,0,4.44183566991017,0.274989139829529,0.00553579106106991,0.432288569193981,13.9180181082328,0.145186780438049,0.285313536583199,42.4264887355285,4.35395340451199,PT1_VeryHighGain,VeryHighGain,1.18912645939477,25.3098002694145,reference-tracking
4.83612200913585,4.41084820251165,0,1.00523263648592,0.943833902414581,0.182850664418444,0.156805643191886,1.18787545086206,1.80743541988715e-06,0.88691976064265,5.79990493895558,15.5973465420314,PT1_HighGain,HighGain,1.01,28.6323254384616,reference-tracking
2.26321473056274,3.78005523930996,0,3.61499877111979,0.496818232050908,0.00826248981873859,1.66310343252426,1388.05884116609,0.305700062355584,27.8104428457468,45.1943995565657,0,PT1_HighGain,HighGain,1.01,55.5500799262783,reference-tracking
5.00622289553122,3.64435624550658,1.39014422008668,0.461275225171056,1.17946547761051,0.278153556058511,1.25033347819429,0.730101386393116,4.69917438294942e-11,0.835733897253533,3.07424076226999,5.40492719884291,PT2_VeryHighGain,VeryHighGain,1.19229047279194,55.0015704913141,balanced
1.96439551990418,5.1298990547857,0,1.488645803468,1.38157676972327,0.0297917786403691,2.42996288769995,7.84701180131374,0.116472590576214,15.9487593113269,41.4863864442159,0,PT1_HighGain,HighGain,1.28273011217524,77.22829644555,disturbance-rejection
5.32204157709124,1.35915662856336,2.42713846840724,5.47523329894974,0.0295646283533756,0.000261304078408923,0.8362548864482,47.8920070997305,0.565880223758889,0.268842220244691,49.9646388954504,261.438403711127,PT2_VeryHighGain,VeryHighGain,1.01,61.2655239286541,reference-tracking
5.65044992876695,2.20162301639858,2.55044879294441,4.55628267547416,0.0417230803037102,0.000368765367750604,1.18016466720322,62.1161461941858,1.66276738068603,0.591273485298266,49.9821153006324,45.7869388028667,PT2_HighGain,HighGain,1.01,65.8111995429946,balanced
9.7648699767332,2.89100257954553,1.96315556819252,1.53822257393595,0.0250882025654233,0.000224532689695915,0.700808765102459,26.4895612837102,0.751982273021602,0.210369259333897,45.100083831342,264.04389701522,PT2_VeryHighGain,VeryHighGain,1.02272210031587,74.5161569276865,balanced
8.83641755932197,1.44232287809421,0,2.38974731182415,0.156647408887652,0.00909323154985543,0.161060364630873,144.77091747579,0.0690796870479033,26.5806814854341,43.4651195021825,0,PT1_VeryHighGain,VeryHighGain,3.5425825233602,22.2393711033797,balanced
2.51558096428516,6.58280148580017,0,2.4307076286699,2.23217980695272,0.203304219626668,1.65468974684242,3.16620702158719,0.000676705095522534,0.579207359738108,12.9321842777084,25.977324653934,PT1_LowGain,LowGain,1.01,30.2560437430423,reference-tracking
