K,T1,T2,L,Kp,Ki,Kd,ISE,SSE,RiseTime,SettlingTime,Overshoot,SystemType,SystemCategory,wc,PhaseMargin,DesignFocus,w0,zeta,Tchar,Family
2.97883544721755,NaN,NaN,0,30.8851546587544,2.27705717305523,104.728681122145,0.529755642657418,0.000525142401055168,1.41520049448174,9.86566519414554,16.5932431913916,PT2osc_z0.12,PT2osc,1.01,44.9310668683821,disturbance-rejection,0.0562173188707861,0.118333412196721,17.788112633021,PT2_osc
8.27346828802553,NaN,NaN,0,2.13658358746099,0.307393411942637,3.71266042866556,0.485518600544983,1.29121192637971e-06,1.49762925346943,7.59516225835423,11.3581738228586,PT2osc_z0.82,PT2osc,1.01,44.7147351444488,balanced,0.175312463523102,0.817865449100135,5.70410100858703,PT2_osc
9.21599735151529,NaN,NaN,0,1.9632040624057,1.0045806935021,0.959148980160597,0.113156812583542,0,0.316057385730004,3.09154336641902,14.5817599970039,PT2osc_z0.39,PT2osc,4.51865126749311,24.3937825731188,disturbance-rejection,0.691642760906556,0.388941094133589,1.44583310420147,PT2_osc
8.72314326750845,4.76177426196123,0.646452125931613,9.06801927405768,0.0235338377200791,0.000208001524773718,0.665670021454814,98.1859599369463,2.22814967099912,0.650016993008626,49.8837691284955,19.7705359735713,PT2_VeryHighGain,VeryHighGain,1.01,54.3526794602941,reference-tracking,NaN,NaN,5.40822638789284,PT1PT2_existing
0.556901374454074,NaN,NaN,0,28.3168073751813,10.5335227355668,19.0307079609673,0.134262172886477,7.65942864688895e-13,0.412734087997772,3.83040697379153,11.0747538099807,PT2osc_z0.44,PT2osc,3.68165080843821,49.1812698585476,disturbance-rejection,0.573519066783755,0.44482924350914,1.74362119398735,PT2_osc
0.306107387667447,NaN,NaN,0,153.056675199878,6.23489435684738,939.324088046231,0.483871027793535,0.000780154214542472,1.87832451162272,12.0293044409892,4.04040454387806,PT2osc_z0.83,PT2osc,1.01,86.3368377524597,balanced,0.0591135079958818,0.828827862387249,16.9166072849148,PT2_osc
3.82692090691784,NaN,NaN,0,0.029588252514791,0.279427886642086,0,1.04409441986845,1.11022302462516e-15,0.841409417196785,4.79165546958438,16.0876659615445,P_delay,P,1.07627036095674,43.8769200036022,reference-tracking,NaN,NaN,0.827156316688942,P
2.3289245987977,NaN,NaN,0,0.41777617648719,0.221339151731913,0,34.6720016282943,2.12042685632241e-07,5.44166328462412,10.9745246349706,0,P_delay,P,2.23215413108638,81.1601303955812,reference-tracking,NaN,NaN,0.828072123935171,P
2.33003577544052,NaN,NaN,0,5.58703939027183,0.541012243150799,11.3029627029013,0.410835624375196,0.000410428477589764,1.1939978755732,15.8172327834632,12.6110935492533,PT2osc_z0.24,PT2osc,1.22586573759042,46.4999482163949,disturbance-rejection,0.207992418583703,0.243782616567005,4.80786755021826,PT2_osc
1.17019414315207,NaN,NaN,0,11.1377802058951,2.32205066814897,13.3556676450256,0.265021583257697,7.99075156043827e-08,0.838544097248034,7.13424357175151,10.0056678397481,PT2osc_z0.51,PT2osc,1.83594415799218,37.5110966884356,reference-tracking,0.331703246454933,0.512609413690386,3.01474287842361,PT2_osc
0.38023900645646,NaN,NaN,0,37.0080134019075,8.02829429124721,42.6489427975055,0.216095200352795,1.38175483388459e-07,0.61039649555263,7.98845271449589,14.0966114590011,PT2osc_z0.17,PT2osc,2.35972879209049,25.1921125423814,reference-tracking,0.370783006078891,0.16842957578521,2.69699523334473,PT2_osc
0.589742015593043,NaN,NaN,0,23.4198210924107,2.66097554690732,51.5307272024725,0.362335472941741,9.89406746403354e-05,1.09887488263597,14.6569729702165,11.5551528436384,PT2osc_z0.23,PT2osc,1.37406357976145,58.435698736225,reference-tracking,0.207630859213526,0.225670138668434,4.81623976218105,PT2_osc
4.00616743045788,17.2142857060048,0,7.67444702799483,0.833519069136727,0.0134099165735067,4.23733336855566,150.596340073573,0.102663645810651,14.2879334154326,38.9363927309485,0,PT1_MediumGain,MediumGain,1.01,21.1736720372467,disturbance-rejection,NaN,NaN,17.2142857060048,PT1PT2_existing
4.41073129630442,4.44411882601413,0,1.95464004273948,0.614841994412927,0.0106046974197153,0.844064490821076,4.81020226081757,0.138411409178291,12.6865283917402,41.0156752220597,0,PT1_VeryHighGain,VeryHighGain,1.01,67.16667858429,balanced,NaN,NaN,4.44411882601413,PT1PT2_existing
4.12292442135739,NaN,NaN,0,371.110946674538,27.0399888078498,1273.33017517457,0.536075107326766,0.000405309613272675,1.41895966146633,10.6038080977577,16.7431661324439,PT2osc_z0.60,PT2osc,1.01,36.0797256759573,disturbance-rejection,0.0137278509729232,0.603049942850462,72.8446136232392,PT2_osc
0.587750614774158,NaN,NaN,0,25.71690214467,3.47609868974199,37.4289224791769,0.28728730200214,4.19327701778327e-05,0.780982036052018,11.3351867020674,15.2656010326956,PT2osc_z0.11,PT2osc,1.80533564156823,41.5701636881256,disturbance-rejection,0.277211903126754,0.113472075996777,3.60734870588423,PT2_osc
3.46490407890798,1.15465362277787,0,0.417590471186043,1.2160584646805,0.138986098416842,0.286121930713718,1.51501594603512,0.00141876836471511,5.87738214945116,21.9972539821523,0,PT1_VeryHighGain,VeryHighGain,6.7160621990258,45.7271354679884,disturbance-rejection,NaN,NaN,1.15465362277787,PT1PT2_existing
8.86228549095959,3.70871273872018,0,2.62457258213664,0.173823648568323,0.00305106436753722,0.401765646750126,22.087226868867,0.229692091081048,23.8598366151359,44.1607671944421,0,PT1_VeryHighGain,VeryHighGain,1.0472734074487,63.9323304952257,balanced,NaN,NaN,3.70871273872018,PT1PT2_existing
7.00563975386775,NaN,NaN,0,66.1323073706358,4.82524947659333,226.593573004849,0.532477673660292,0.000402218634158458,1.42620133749299,10.5750807196689,16.3842575838006,PT2osc_z0.42,PT2osc,1.01,50.6888166292437,balanced,0.0249598028849262,0.421322343075367,40.0644189623758,PT2_osc
5.78546673877112,3.65973078947586,0,0.653381406794606,1.11034291755845,0.332333817989942,0.165371914857201,0.736619945899959,3.10460457342288e-09,0.493079735334884,2.4179214493261,18.6940355594703,PT1_HighGain,HighGain,1.74063878442871,26.2151717935699,balanced,NaN,NaN,3.65973078947586,PT1PT2_existing
0.492786764581956,1.47182519866189,0,0.279663051895893,1.08510140740463,0.0302581616662107,9.72832617311936,0.477581037351687,0.0237476931704679,0.307622110109479,19.4038700874126,5.79545930874885,IT1,IT1,3.18654328185982,77.2513313496165,disturbance-rejection,NaN,NaN,1.47182519866189,IT1
3.97465611468938,NaN,NaN,0,1.27059306069022,0.543006460616621,0.719963781603587,0.398763071589504,2.33146835171283e-15,1.18053344257993,4.39438812062725,9.73846011256787,PT2osc_z0.91,PT2osc,1.28802985955388,35.4372730150555,reference-tracking,0.593144167757381,0.913493711267441,1.68593076415284,PT2_osc
0.963674877960832,NaN,NaN,0,18.2694366304912,6.51878926244256,12.800395186823,0.194042055327767,1.28452803949131e-13,0.592264792327083,2.97911093749913,11.6164731099408,PT2osc_z0.78,PT2osc,2.54115904343843,44.7715395442051,reference-tracking,0.438478637276979,0.780260362317579,2.28061281664748,PT2_osc
0.655880863571979,NaN,NaN,0,20.9426181050056,3.01968192954505,36.3112128466945,0.477077484075667,1.85228725246844e-07,1.65404617649105,8.1591865845879,6.97084594237694,PT2osc_z0.97,PT2osc,1.01,70.1245165151637,reference-tracking,0.20148029911781,0.969924700991594,4.96326442028597,PT2_osc
0.365036551246709,NaN,NaN,0,4456.41275567029,326.201306752259,15220.3671765053,0.532622125973552,0.000366131550102455,1.42879574762095,10.7064993387354,16.3106578086373,PT2osc_z0.90,PT2osc,1.01,31.3999977674368,balanced,0.0133440785991729,0.900419726375274,74.9396065504279,PT2_osc
1.09577320153361,42.539679914024,0,2.17537473944024,13.5878129239613,0.228736652950303,36.6514596131594,10.1573355373863,0.00813796589598326,7.54798379487222,16.531504702432,0,PT1_VeryLowGain,VeryLowGain,1.01,65.6850168728115,balanced,NaN,NaN,42.539679914024,PT1PT2_existing
2.23411184465687,NaN,NaN,0,43.3818902023406,3.35025253993079,110.327808122582,0.536356717259738,0.000343819890111341,1.3444810009692,8.3744055437441,19.0268953637918,PT2osc_z0.25,PT2osc,1.01,30.1869075920799,disturbance-rejection,0.0625013062478661,0.248326512583533,15.9996656075351,PT2_osc
3.3304057522755,NaN,NaN,0,4.61354730249242,0.958570121985247,5.55118979408963,0.38500473134136,8.23218160306283e-11,1.26233043352847,6.74896784892215,9.06399253300634,PT2osc_z1.07,PT2osc,1.26305274241748,53.2245762392995,disturbance-rejection,0.254663257647456,1.07071906829141,3.92675413500111,PT2_osc
2.1389223313684,NaN,NaN,0,7.24703251452068,1.23286920666523,8.35013455191704,0.22238043605188,1.46680106039021e-06,0.763756579710389,3.20761366736417,6.78348967092097,PT2osc_z0.64,PT2osc,2.16974818125659,74.1224697182996,disturbance-rejection,0.339802741406818,0.64318123796473,2.94288385037713,PT2_osc
7.06990275398695,2.29870063352597,0,0.930526327414259,0.35468779914487,0.10098700217703,0.0542411714575925,1.09210368508512,2.93817563279397e-07,0.974596710979757,7.52548413837308,4.6980562010327,PT1_HighGain,HighGain,1.01,55.7004570140759,reference-tracking,NaN,NaN,2.29870063352597,PT1PT2_existing
3.53722074737904,10.7903008381953,0,0.591449471721357,3.08071852415315,0.541147149558747,0.247474268497564,0.858528099502464,6.83834761261437e-06,1.00078341486618,9.45308297821535,10.5382444396505,PT1_LowGain,LowGain,1.01,52.0170910898692,balanced,NaN,NaN,10.7903008381953,PT1PT2_existing
0.517536658666206,NaN,NaN,0,1.38303013227234,1.36284202698464,0,1.67957413590717,4.44089209850063e-15,2.23102339785113,5.02284017124835,0,P_delay,P,1.01,62.9924463000741,reference-tracking,NaN,NaN,1.45762974920805,P
0.366274887030531,NaN,NaN,0,19.7686813754583,3.24773122362641,30.0825973899424,0.490448345588782,7.13155944043198e-06,1.5007787108885,12.2439343708151,9.45319867539869,PT2osc_z0.50,PT2osc,1.01,36.6853847247166,disturbance-rejection,0.282485544408714,0.496357985897493,3.54000415169263,PT2_osc
3.07519620911941,2.63502045209454,8.81305758992745,2.6345225807104,0.289775382613189,0.00256115140005428,8.19648658478768,16.5958199682064,0.387757958195198,0.432933179102237,49.1297269366938,171.564994442743,PT2_HighGain,HighGain,1.01,74.9237821232669,reference-tracking,NaN,NaN,11.448078042022,PT1PT2_existing
8.77668798002053,NaN,NaN,0,0.439947953028675,0.0195376052698702,2.47668788856905,0.921972056621387,0.0342424492131435,1.96963794915629,40.0517815851909,0,PT2osc_z0.32,PT2osc,1.01,87.849345687688,balanced,0.210993159248375,0.317643641052843,4.73949015011824,PT2_osc
16.0213814388066,NaN,NaN,0,4.40032126744716,0.397944753863474,9.43751275337517,0.516466016237813,8.01240860260899e-05,1.37959219688156,8.1167868381726,16.868835540666,PT2osc_z0.70,PT2osc,1.01,27.8915236044883,reference-tracking,0.0792267460510678,0.696950696833078,12.6220001431767,PT2_osc
