K,T1,T2,Kp,Ki,Kd,ISE,SSE,RiseTime,SettlingTime,Overshoot,PhaseMargin,DesignFocus,Bandwidth,SystemCategory
0.850244950057058,0.0675346332240459,0.0299964057544159,0.109428289931331,4.45230453840373,0.000672379356241693,0.168806553733648,4.44089209850063e-16,0.4346646132527,0.734275562882301,0.00260761741084359,75,disturbance-rejection,3.66036741739559,Toothbrush
0.68599044507178,0.0901287325753391,0.0280399838313496,0.0231354091208287,3.54703723682811,3.77249461628686e-05,0.263561187118683,6.66133814775094e-16,0.661900226204753,1.16364455158564,0,75,disturbance-rejection,2.37425355014389,Toothbrush
0.316766954066113,0.0449479498484462,0.0225167121649551,0.126358643601953,14.577184923479,0.000273826992261184,0.138832960916366,5.55111512312578e-16,0.35106836591857,0.614285692428674,0,75,reference-tracking,4.50436170818504,Toothbrush
0.901742444305077,0.0779766977379572,0.0295106164728416,0.129467562385054,4.0883424081749,0.00102497834308175,0.173052294915777,3.33066907387547e-16,0.452254332416861,0.745152687574195,0.024812104754024,75,disturbance-rejection,3.54520329891284,Toothbrush
0.500324300580181,0.0901172919977571,0.0352673724304177,0.170705205268837,8.55755538487306,0.000851302322780939,0.171661541754699,2.22044604925031e-16,0.347051642938635,0.874235083496387,3.01480293881951,45,reference-tracking,3.99532746433396,Toothbrush
0.750810637830901,0.0977445009141042,0.0143186978232799,0.11492042042892,6.10909818726364,0.0005404522331583,0.154761073805821,1.11022302462516e-16,0.343810148240416,0.81477492939616,2.4866025032229,45,reference-tracking,4.23671573148787,Toothbrush
0.719156330514774,0.0810749959173832,0.0113139924310156,0.138655262102546,5.80090831949218,0.000828546179747615,0.152670391317337,6.66133814775094e-16,0.406557665283256,0.649558099458315,0.12566088805599,75,reference-tracking,3.97554879640495,Toothbrush
0.239840025553329,0.0867525206476335,0.0491531235683058,0.72250141331821,13.946002093684,0.00935766911441993,0.190472447448998,2.22044604925031e-16,0.501622632525706,0.81675127541367,0.0479471362675232,75,disturbance-rejection,3.20522760368936,Toothbrush
0.32776160105683,0.0776727839064022,0.0298844813214943,0.0554124625984878,8.20189656414641,9.35924083903747e-05,0.238665923644995,4.44089209850063e-16,0.596862474109903,1.0559286253716,0,75,reference-tracking,2.62615859159093,Toothbrush
0.123999025458891,0.0662097182246255,0.0373520612864792,0.680712085763792,39.3219478171505,0.00294599434557252,0.147978414726547,1.11022302462516e-16,0.303805447594318,0.666868462501365,2.07923927809761,30,reference-tracking,4.6038481141356,Toothbrush
0.786445752942774,0.0351813589286363,0.043085165505644,0.147482988408372,6.3520414391428,0.000856072495679404,0.128022441864753,8.88178419700125e-16,0.329362051388002,0.55744199455807,0.000415237474182817,75,reference-tracking,4.83639557576669,Toothbrush
0.924754122487685,0.077064432553838,0.0141172509005006,0.0834078315888928,4.24426264509193,0.000409780623402632,0.16251194834478,2.22044604925031e-16,0.425404247173132,0.698109511887449,0.0385506249974243,75,reference-tracking,3.7689683244862,Toothbrush
