y_true_orig,y_pred_orig,abs_error,rel_error_percent
175.06844,53.801754,121.26668,69.26816
215.88478,132.0204,83.86438,38.84682
152.3535,80.523186,71.830315,47.147137
117.67718,56.484047,61.19313,52.000847
178.99509,125.80125,53.19384,29.718044
113.55518,61.27344,52.281742,46.040825
89.33104,43.874886,45.456154,50.88506
125.7674,85.64879,40.118614,31.899055
88.81053,49.240177,39.570354,44.555923
70.105064,31.390911,38.714153,55.223045
84.054985,48.221725,35.83326,42.630737
153.99069,121.789444,32.20125,20.911165
34.71264,9.938914,24.773724,71.36802
143.22589,119.95623,23.26966,16.246826
40.690178,18.546839,22.14334,54.419373
41.129417,20.317694,20.811724,50.60058
42.618446,63.396828,20.778381,48.754433
68.1201,47.833813,20.28629,29.78018
43.81802,63.96103,20.14301,45.969692
102.62388,82.54373,20.080147,19.566738
64.593155,84.058105,19.46495,30.134697
34.83169,16.356535,18.475157,53.041225
50.45711,68.86147,18.404362,36.475258
59.81535,41.671772,18.143578,30.332645
32.794445,15.553541,17.240904,52.57263
32.934162,49.288795,16.354633,49.65857
31.820461,16.10179,15.718672,49.398003
146.1648,130.52577,15.639023,10.699583
99.84194,84.414955,15.426987,15.451409
89.535065,104.93686,15.401794,17.20197
15.192818,3.4471068e-05,15.192783,99.99977
33.78758,19.000715,14.786863,43.7642
26.60716,40.06393,13.45677,50.575745
52.53204,65.34963,12.817593,24.399572
36.330093,48.934124,12.604031,34.693085
105.22046,92.97115,12.249306,11.641562
38.576584,26.61799,11.958593,30.999619
66.54579,78.46155,11.915756,17.906101
29.315382,18.734314,10.581068,36.09391
109.25412,99.09189,10.162231,9.301463
19.265348,29.202469,9.93712,51.58028
49.406246,39.51959,9.886658,20.010946
56.960896,66.43576,9.474865,16.633982
18.102863,26.613144,8.510281,47.01069
24.330618,32.446674,8.116056,33.35738
32.604424,24.76868,7.835743,24.03276
42.277878,48.498188,6.22031,14.712919
33.17176,27.132568,6.039192,18.205822
12.707829,6.6936,6.0142293,47.326958
68.34482,74.24452,5.899704,8.632262
56.47962,50.59806,5.8815613,10.413599
20.645992,15.44796,5.1980324,25.176954
20.982092,25.917204,4.935112,23.520592
33.20235,38.096558,4.894207,14.740544
14.417562,19.251354,4.8337927,33.52712
41.619305,36.822594,4.796711,11.525207
8.976539,4.9286866,4.047852,45.093685
12.324566,16.054861,3.7302952,30.267153
33.52621,37.170044,3.6438332,10.868609
8.868826,5.6507325,3.2180934,36.28545
40.202866,43.261463,3.0585976,7.6079087
24.00008,21.098839,2.9012413,12.088466
23.049932,20.191265,2.8586674,12.402063
10.428962,7.9393435,2.4896183,23.872158
7.521857,5.044801,2.4770555,32.93144
6.8256955,9.272468,2.446772,35.84649
62.79423,65.214264,2.4200325,3.853909
25.193384,22.792427,2.400957,9.530109
18.230423,15.862349,2.3680744,12.989684
5.150693,7.49434,2.343647,45.501587
10.404463,12.543855,2.139392,20.562252
8.286845,10.418798,2.1319532,25.72696
6.5915575,4.562133,2.0294247,30.788242
21.458427,19.530113,1.9283142,8.9862795
41.166553,43.053032,1.8864784,4.5825515
7.677009,5.8047547,1.8722544,24.38781
8.085183,9.915431,1.8302479,22.63706
5.568459,3.7480917,1.8203673,32.69068
8.60191,6.901611,1.7002988,19.766527
23.58653,24.909262,1.322731,5.607993
4.4456835,5.652253,1.2065697,27.140251
39.0164,37.897934,1.1184654,2.8666546
2.5873291,3.7052584,1.1179292,43.207848
3.3900385,4.474368,1.0843296,31.985762
6.115301,5.148518,0.96678305,15.809247
3.9408832,4.901979,0.9610958,24.387829
12.808842,13.761386,0.9525442,7.436615
196.36845,195.49243,0.87602234,0.44611153
1.8542275,2.712873,0.85864544,46.30745
1.133233,1.9830494,0.84981644,74.99045
5.5693955,6.4063973,0.8370018,15.028593
4.804663,4.008876,0.79578733,16.562813
65.44869,66.22527,0.7765808,1.1865491
47.55844,46.789276,0.76916504,1.617305
5.4149313,4.649795,0.76513624,14.130119
43.482697,44.21393,0.7312317,1.6816614
4.7387967,5.44441,0.70561314,14.890132
5.3391733,6.0388856,0.6997123,13.105255
1.1078129,1.7644849,0.656672,59.276436
3.66829,4.237498,0.5692079,15.516983
3.8634193,3.322454,0.5409653,14.002242
4.7456017,4.2367454,0.5088563,10.7226925
0.99238575,1.4497066,0.4573208,46.08297
26.753538,26.301138,0.4524002,1.6909921
3.9435866,3.5284753,0.4151113,10.526238
10.093615,9.685989,0.4076252,4.0384464
2.717704,3.1133456,0.39564157,14.557934
1.1130469,1.4655526,0.35250568,31.670336
6.0489125,5.724531,0.32438135,5.362639
3.1537228,2.836709,0.31701374,10.052049
10.2093525,9.933614,0.27573872,2.7008443
3.0266151,3.2865553,0.25994015,8.588477
1.6670504,1.8665755,0.19952512,11.968751
1.7172278,1.8766484,0.15942061,9.283603
4.635878,4.782497,0.14661884,3.1626985
3.4391682,3.5843754,0.14520717,4.2221594
47.50465,47.369434,0.13521576,0.28463688
18.649128,18.704233,0.05510521,0.2954841
4.7788424,4.748185,0.030657291,0.6415213
0.7669119,0.791041,0.024129093,3.1462665
