y_true_orig,y_pred_orig,abs_error,rel_error_percent
39.651318,12.145272,27.506046,69.36982
12.044678,3.8094368,8.235241,68.37245
7.938149,2.9671013,4.9710474,62.62225
8.684136,3.843935,4.8402014,55.73613
7.1435747,2.3405015,4.803073,67.23627
18.277704,13.951713,4.3259916,23.668135
17.62135,13.917616,3.7037334,21.018444
9.7180605,6.4317465,3.286314,33.816563
4.3282537,1.7137859,2.6144679,60.40468
2.6977167,5.3115115,2.6137948,96.88915
3.9440498,6.5333877,2.5893378,65.65175
3.5777285,1.3675201,2.2102084,61.776863
6.644552,4.479671,2.1648812,32.581295
5.7898917,3.6692128,2.120679,36.627262
2.4521039,4.464735,2.0126312,82.07773
3.1522927,1.2771783,1.8751144,59.484146
2.5839262,4.4073668,1.8234406,70.5686
11.279425,9.459005,1.8204193,16.139292
7.0109324,8.815596,1.8046632,25.740702
3.6576164,1.9025447,1.7550716,47.984028
5.4461465,7.181204,1.7350574,31.85844
2.4274044,0.8165113,1.6108931,66.362785
3.085023,1.4891088,1.5959141,51.73103
2.2659037,3.8577566,1.5918529,70.25245
4.400971,5.8976946,1.4967237,34.00894
4.774132,3.2996101,1.4745216,30.88565
1.8040029,3.2243195,1.4203166,78.73139
2.2482576,3.5510383,1.3027806,57.94623
2.4086702,1.1522264,1.2564437,52.163376
3.4688046,4.7177744,1.2489698,36.00577
10.183313,8.977046,1.2062674,11.84553
12.204269,13.3842535,1.1799841,9.668617
14.721128,15.857264,1.1361351,7.7177176
10.44785,9.508298,0.9395523,8.992782
1.0963349,2.0331,0.93676496,85.445145
0.8907089,4.4534303e-05,0.8906644,99.994995
1.0151451,1.8854716,0.8703265,85.73421
16.133211,16.953583,0.8203716,5.0849867
2.0491223,1.2566266,0.7924957,38.674885
3.1370595,3.8937469,0.7566874,24.120913
1.3697424,2.10936,0.7396176,53.99684
1.17167,0.44410384,0.7275661,62.096508
1.2285303,1.906282,0.67775166,55.167683
2.4394343,3.0921688,0.6527345,26.757618
3.2029083,2.5686283,0.63427997,19.803251
5.2934065,4.678888,0.61451864,11.609134
2.3245292,2.9358208,0.61129165,26.29744
3.8511674,3.2473555,0.603812,15.678674
0.6607053,1.2258854,0.56518006,85.54192
2.2333946,2.7935243,0.56012964,25.079742
7.5706773,7.034195,0.53648233,7.0863185
2.623592,3.1124706,0.48887873,18.633945
0.9859322,1.4716189,0.48568672,49.261677
9.260376,8.794731,0.46564484,5.028358
2.1815145,1.7274425,0.454072,20.814531
3.752361,3.3052244,0.44713664,11.9161415
0.66949946,1.1066072,0.43710774,65.288734
3.2873952,3.7059736,0.4185784,12.732828
2.467876,2.885421,0.41754508,16.919209
0.54152846,0.94749653,0.40596807,74.96708
0.79916924,0.40075603,0.3984132,49.85342
0.47617984,0.8538331,0.37765324,79.30895
0.55591846,0.9329461,0.37702763,67.82067
1.7118541,2.0779188,0.36606467,21.384106
4.327595,4.692727,0.36513186,8.437292
0.7301967,0.3985864,0.33161032,45.413837
1.352935,1.680232,0.3272971,24.191635
3.2621841,3.578507,0.3163228,9.696657
0.38052866,0.6932653,0.31273666,82.184784
1.4706755,1.2057436,0.26493192,18.014301
2.138951,1.8910587,0.24789238,11.589437
0.665103,0.4179433,0.24715972,37.16112
0.75077885,0.97979355,0.2290147,30.503616
0.70896655,0.48310113,0.22586542,31.858402
1.7764882,1.9739256,0.1974374,11.113915
0.6937967,0.87616134,0.18236464,26.285025
0.668371,0.4952995,0.17307153,25.894531
0.1531261,0.0,0.1531261,100.0
0.32896188,0.47612828,0.1471664,44.736614
0.17525712,0.32086983,0.14561272,83.0852
2.0643027,2.2079837,0.14368105,6.9602704
0.53941983,0.40149248,0.13792735,25.569574
0.21281838,0.33334216,0.12052378,56.63222
3.9997547,4.119896,0.12014127,3.003716
0.39015996,0.50818706,0.11802709,30.25095
2.6009605,2.7172463,0.1162858,4.470879
1.6152636,1.5,0.11526358,7.135899
0.15280904,0.2630331,0.11022405,72.1319
0.15302488,0.26228556,0.10926068,71.4006
4.8352246,4.9334674,0.09824276,2.0318139
0.23365347,0.32805058,0.09439711,40.40048
0.7887764,0.8792125,0.0904361,11.465365
0.21856816,0.30857873,0.09001057,41.18192
0.22809215,0.3131557,0.08506356,37.293507
0.26526955,0.34907252,0.08380297,31.591627
0.15283063,0.069131926,0.083698705,54.76566
0.29235125,0.3694344,0.07708314,26.36662
0.30952588,0.38437474,0.07484886,24.181778
0.19855809,0.123897895,0.0746602,37.601185
0.15347931,0.21523014,0.06175083,40.23398
0.21291323,0.2691287,0.05621548,26.403
0.43502,0.38201413,0.053005874,12.184699
0.15965869,0.2103647,0.050706014,31.759008
1.57171,1.6159778,0.044267774,2.8165357
0.3836259,0.33997813,0.043647766,11.37769
0.19951321,0.24044116,0.040927947,20.513903
16.818077,16.85393,0.035852432,0.21317795
1.568205,1.5345023,0.03370273,2.149128
0.35966077,0.32619575,0.033465028,9.304608
0.27338108,0.29952434,0.026143253,9.562934
3.5549102,3.5299158,0.024994373,0.70309436
0.27740782,0.30185303,0.024445206,8.81201
0.16094269,0.1850366,0.024093911,14.970491
0.3350262,0.35703385,0.022007644,6.568932
0.34242207,0.36142093,0.018998861,5.548375
0.31375897,0.3324878,0.018728822,5.9691753
0.37583524,0.38688034,0.011045098,2.938814
0.31810504,0.32449389,0.006388843,2.0084066
1.1464664,1.1527193,0.006252885,0.545405
0.416357,0.414997,0.0013599992,0.32664254
