y_true,y_pred,abs_error,rel_error_%
20.310577,18.769978,1.5405998,7.5852094
38.653408,4.917332,33.736076,87.278404
0.45149326,0.29713655,0.15435672,34.188046
0.51882935,0.5217515,0.0029221773,0.56322515
2.561679,15.787289,13.22561,516.2868
11.981373,3.8312683,8.1501045,68.023125
0.33212724,0.84188926,0.50976205,153.48396
0.6755249,0.59602714,0.079497755,11.768294
3.322918,1.8515365,1.4713814,44.2798
0.7557966,0.7432481,0.012548506,1.660302
4.9172025,3.1260366,1.7911658,36.42652
4.604082,5.6315236,1.0274415,22.315882
2.5334709,6.89035,4.356879,171.97273
2.342689,1.787132,0.555557,23.7145
0.53687984,0.78863895,0.2517591,46.89301
1.3116584,2.7563875,1.4447291,110.14523
1.3529522,7.3201456,5.9671936,441.04984
1.6969461,0.9955144,0.70143175,41.33494
0.46704417,1.2759416,0.80889744,173.19505
0.3122697,0.9634445,0.6511748,208.52962
19.929932,17.348993,2.5809383,12.950062
0.39963394,0.48422506,0.08459112,21.16715
0.3568251,0.95788527,0.60106015,168.4467
0.3107189,0.83866227,0.5279434,169.9103
0.69091034,1.8664382,1.1755278,170.14188
1.3567173,1.5566974,0.19998002,14.73999
2.0235362,8.561538,6.5380015,323.09784
1.6106273,1.2925916,0.31803572,19.746078
4.155939,3.2176552,0.9382839,22.57694
1.4473366,1.8930433,0.44570673,30.79496
1.6742457,0.79625225,0.87799346,52.441135
0.49164036,0.9440303,0.45238993,92.01643
3.4549303,4.2117186,0.75678825,21.904589
18.265955,10.277123,7.9888315,43.736183
0.44423538,1.8249254,1.3806901,310.80148
