type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,type_PT1,type_PT1+Td,type_PT2,type_PT2+Td,ISE
PT2+Td,2.9877719654556154,28.35912028731202,13.550259713497184,3.902811210964188,,,[2.9877719654556154],[384.27344514  41.90938      1.        ],1,20,0.8638545439500684,0.0160915017556837,0.4382934186509635,44.122061030515255,19.50975487743872,0.0287273049503169,good,False,False,False,True,6.5755526372082675
PT1,2.704770178997149,37.048162748483335,0.0,0.0,,,[2.704770178997149],"[37.048162748483335, 1]",1,20,1.449959737384255,0.90036396404334,0.8897362063479863,11.305652826413208,3.8019009504752375,0.4511786344622286,good,True,False,False,False,0.0
PT1,0.6398458216017682,13.89428605562069,0.0,0.0,,,[0.6398458216017682],"[13.89428605562069, 1]",1,20,1.317014588151173,0.9620551447011908,0.4881255854741026,14.4072036018009,5.302651325662831,0.3639819787474936,good,True,False,False,False,0.0
PT2+Td,2.1977247706545797,43.63459735658839,7.332810673959301,0.359921541745584,,,[2.1977247706545793],[319.96424125  50.96740803   1.        ],1,20,2.9437240749640337,0.1751781991052622,0.9312253023338286,24.51225612806403,9.704852426213106,0.3960778636786539,good,False,False,False,True,8.10212891301305
PT1+Td,2.1219393825222346,10.14092800661982,0.0,2.4425369320948014,,,[2.1219393825222346],"[10.14092800661982, 1]",1,20,1.522483667289019,0.4015867827422551,0.1138128230151959,9.204602301150574,2.501250625312656,0.1168989425178528,good,False,True,False,False,6.661818339538831
PT1,0.9010091358977214,30.705902698573137,0.0,0.0,,,[0.9010091358977214],"[30.705902698573137, 1]",1,20,1.1636377564245466,0.3084091951102149,0.6377215622489971,31.41570785392696,11.305652826413208,0.3287919509140854,good,True,False,False,False,7.781657108478785
PT1+Td,0.5034743233329704,10.851903588453409,0.0,2.585037330959462,,,[0.5034743233329704],"[10.851903588453407, 1]",1,20,1.3642738546934985,0.7884259610564196,0.8385774056468219,16.30815407703852,6.003001500750375,0.2590127119685917,good,False,True,False,False,0.0
PT1,2.135652809346975,15.816864778677347,0.0,0.0,,,[2.135652809346975],"[15.816864778677347, 1]",1,20,0.9644992292844056,0.2100054879317309,0.2468433918443418,16.908454227113555,5.202601300650325,0.1666979901902799,good,True,False,False,False,0.0
PT1+Td,1.0988634389782417,47.932779184939726,0.0,1.976320095777083,,,[1.0988634389782415],"[47.932779184939726, 1]",1,20,2.115716645224853,0.5680323266827263,0.8647033160209453,25.112556278139067,8.604302151075537,0.3984993075743125,good,False,True,False,False,8.139526088133566
PT1+Td,1.6443989247249915,42.98848693501823,0.0,3.59464965246153,,,[1.6443989247249917],"[42.98848693501823, 1]",1,20,1.812576948588684,0.0665001397160149,0.0274955189450949,56.0280140070035,13.006503251625812,0.0450087544742569,good,False,True,False,False,6.956360242731077
PT1+Td,1.5551983071254512,44.16201814408258,0.0,3.256374550939457,,,[1.5551983071254512],"[44.16201814408258, 1]",1,20,2.734585893852551,0.5987465780991169,0.2345072025584409,18.509254627313656,5.9029514757378685,0.3139594668688474,good,False,True,False,False,0.0
PT2+Td,1.186743511504856,38.2198331400089,17.50954919142248,1.384250910031123,,,[1.1867435115048561],[669.21204845  55.72938233   1.        ],1,20,1.2035963352083372,0.0591102663092613,0.805674518977822,74.13706853426713,30.815407703851925,0.3087973559446713,good,False,False,False,True,5.2445914058371
PT1+Td,0.9731236488291212,48.65048967066161,0.0,1.1772334261753543,,,[0.9731236488291211],"[48.65048967066161, 1]",1,20,2.302693884044117,0.4887217846685521,0.2470791195412978,28.614307153576785,9.804902451225612,0.3673651382706384,good,False,True,False,False,8.027152044990165
PT1,0.9520244559679754,46.608826534571705,0.0,0.0,,,[0.9520244559679754],"[46.608826534571705, 1]",1,20,1.0035511585139716,0.5471178547879648,0.9074282827921376,28.614307153576785,10.705352676338167,0.529852649379479,good,True,False,False,False,8.101540453257169
PT1,1.4659544583348412,44.62939977440402,0.0,0.0,,,[1.4659544583348412],"[44.62939977440402, 1]",1,20,2.576296667390701,0.6193044140943007,0.4247316215593523,19.2096048024012,6.203101550775387,0.3397459145439511,good,True,False,False,False,7.677597410018979
PT1+Td,1.4346041898596844,33.867924599098785,0.0,4.576912571318058,,,[1.4346041898596844],"[33.867924599098785, 1]",1,20,2.7269220139862327,0.8824856764908087,0.5999572085163336,14.207103551775887,4.602301150575287,0.3385625916496613,good,False,True,False,False,0.0
PT1,2.5765805958839327,29.75082488885321,0.0,0.0,,,[2.5765805958839327],"[29.75082488885321, 1]",1,20,1.3256440144729025,0.5536049952564424,0.8374292028717711,13.106553276638316,4.302151075537768,0.3596638526685017,good,True,False,False,False,0.0
