Region,Parameter,R2,MAE,Samples
K: 10-20 | T1: 1-10,Kd,0.9804473519325256,0.4378768801689148,225
K: 1-5 | T1: 1-10,Kd,0.9785992503166199,0.32389742136001587,111
K: 20-30 | T1: T1<1,Kd,0.9783592820167542,0.4362930953502655,66
K: K<1 | T1: 10-30,Kd,0.9595064520835876,0.4238661527633667,13
K: >30 | T1: 1-10,Kd,0.9565925002098083,0.4597269296646118,131
K: >30 | T1: T1<1,Kd,0.9533524513244629,0.49403733015060425,130
K: 10-20 | T1: T1<1,Kd,0.949627697467804,0.7831895351409912,41
K: 5-10 | T1: 1-10,Kd,0.9171016216278076,0.6700882911682129,124
K: 1-5 | T1: 10-30,Kd,0.8996614217758179,0.39842677116394043,108
K: 20-30 | T1: 1-10,Kd,0.8642691373825073,0.9000726342201233,79
K: 5-10 | T1: T1<1,Kd,0.7114810347557068,1.3533817529678345,23
K: K<1 | T1: 1-10,Kd,0.6501204967498779,0.25042396783828735,37
K: K<1 | T1: 10-30,Ki,0.9548746943473816,1.15529465675354,13
K: 1-5 | T1: 10-30,Ki,0.9401922821998596,2.117037534713745,108
K: 1-5 | T1: 1-10,Ki,0.923616349697113,2.5498101711273193,111
K: >30 | T1: T1<1,Ki,0.9223364591598511,2.394383430480957,130
K: K<1 | T1: 1-10,Ki,0.9103596210479736,2.2035422325134277,37
K: 20-30 | T1: T1<1,Ki,0.9030979871749878,2.320136308670044,66
K: 10-20 | T1: 1-10,Ki,0.9028453230857849,2.470121145248413,225
K: >30 | T1: 1-10,Ki,0.9004808664321899,3.1031277179718018,131
K: 5-10 | T1: 1-10,Ki,0.8979952931404114,2.629210948944092,124
K: 20-30 | T1: 1-10,Ki,0.8647361993789673,2.6530325412750244,79
K: 5-10 | T1: T1<1,Ki,0.862914502620697,4.827147006988525,23
K: 10-20 | T1: T1<1,Ki,0.8241361379623413,2.5640885829925537,41
K: 10-20 | T1: T1<1,Kp,0.9689432978630066,2.083373546600342,41
K: 1-5 | T1: 10-30,Kp,0.943585216999054,1.8554494380950928,108
K: >30 | T1: T1<1,Kp,0.9413569569587708,2.1736326217651367,130
K: K<1 | T1: 1-10,Kp,0.9348063468933105,1.757154941558838,37
K: 1-5 | T1: 1-10,Kp,0.934645414352417,2.2657713890075684,111
K: 5-10 | T1: 1-10,Kp,0.9325687289237976,2.3225317001342773,124
K: 10-20 | T1: 1-10,Kp,0.9248877167701721,2.226435661315918,225
K: K<1 | T1: 10-30,Kp,0.9247459173202515,1.7130602598190308,13
K: >30 | T1: 1-10,Kp,0.9216254353523254,2.583181858062744,131
K: 20-30 | T1: T1<1,Kp,0.9138532876968384,2.2634143829345703,66
K: 20-30 | T1: 1-10,Kp,0.8823333978652954,2.731632947921753,79
K: 5-10 | T1: T1<1,Kp,0.5235350131988525,6.858307361602783,23
