Region,Parameter,R2_log,MAE_log,Samples
K<1 & 1-10,Kp,0.9930912256240845,0.018164046108722687,27
5-10 & 30-75,Kp,0.9896607398986816,0.025210894644260406,997
20-30 & T1<1,Kd,0.9890450835227966,0.22121907770633698,57
10-20 & 10-30,Kp,0.988824188709259,0.024919984862208366,884
10-20 & 1-10,Kp,0.9886335730552673,0.027942238375544548,377
20-30 & 30-75,Kp,0.9885815978050232,0.02609979175031185,2016
20-30 & T1<1,Kp,0.9884167313575745,0.027477769181132317,57
5-10 & 1-10,Kp,0.9882434606552124,0.02562492899596691,191
20-30 & T1<1,Ki,0.9872133135795593,0.04060937091708183,57
20-30 & 1-10,Kp,0.9870938062667847,0.027109883725643158,393
1-5 & T1<1,Kp,0.987030565738678,0.033300016075372696,28
10-20 & T1<1,Kp,0.9867833852767944,0.02534809708595276,44
K<1 & 1-10,Ki,0.9860978722572327,0.03883244842290878,27
10-20 & 30-75,Kp,0.9853896498680115,0.027644021436572075,2017
K<1 & 10-30,Kp,0.9852263331413269,0.03158712387084961,49
1-5 & 1-10,Kp,0.9851113557815552,0.03390808776021004,161
1-5 & 10-30,Kp,0.9849522709846497,0.027635201811790466,358
K<1 & 30-75,Kp,0.9846793413162231,0.02957897260785103,126
1-5 & 30-75,Kp,0.9845372438430786,0.029103953391313553,799
20-30 & 10-30,Kp,0.9844075441360474,0.02876409888267517,917
K<1 & 10-30,Ki,0.9837642908096313,0.05051117390394211,49
10-20 & 1-10,Ki,0.9819769263267517,0.04965566098690033,377
20-30 & 1-10,Ki,0.981243908405304,0.04914022237062454,393
5-10 & 10-30,Kp,0.9806603789329529,0.02977159060537815,438
5-10 & T1<1,Kp,0.9800330400466919,0.0374596007168293,30
1-5 & 10-30,Ki,0.9794521927833557,0.053675826638936996,358
10-20 & T1<1,Ki,0.9775636792182922,0.04996533319354057,44
K<1 & 30-75,Ki,0.9750809073448181,0.05323440209031105,126
1-5 & 1-10,Ki,0.9745174050331116,0.0552050843834877,161
20-30 & 30-75,Ki,0.9741325974464417,0.05051224306225777,2016
1-5 & T1<1,Ki,0.9723720550537109,0.05705156922340393,28
5-10 & T1<1,Ki,0.9706801176071167,0.06356746703386307,30
5-10 & 10-30,Ki,0.9691368937492371,0.05388302728533745,438
10-20 & T1<1,Kd,0.9668365120887756,0.2764919698238373,44
10-20 & 30-75,Ki,0.9664278030395508,0.05220944061875343,2017
5-10 & 30-75,Ki,0.962594211101532,0.04984784498810768,997
1-5 & 30-75,Ki,0.960837185382843,0.058791618794202805,799
20-30 & 10-30,Ki,0.9603922963142395,0.05650481954216957,917
5-10 & 30-75,Kd,0.9560025334358215,0.3020246922969818,997
10-20 & 1-10,Kd,0.9559198617935181,0.3141494691371918,377
10-20 & 10-30,Ki,0.9553897976875305,0.05380380153656006,884
10-20 & 10-30,Kd,0.9535231590270996,0.3212711811065674,884
20-30 & 10-30,Kd,0.9518778920173645,0.33047863841056824,917
1-5 & 30-75,Kd,0.9488807320594788,0.3420940637588501,799
K<1 & 1-10,Kd,0.9484209418296814,0.30741724371910095,27
K<1 & 30-75,Kd,0.9468754529953003,0.3350716531276703,126
10-20 & 30-75,Kd,0.9432345032691956,0.3377893269062042,2017
20-30 & 1-10,Kd,0.9430023431777954,0.33806487917900085,393
20-30 & 30-75,Kd,0.9426969289779663,0.3338606059551239,2016
5-10 & 1-10,Kd,0.941386878490448,0.35576051473617554,191
1-5 & 10-30,Kd,0.9375958442687988,0.3721676766872406,358
1-5 & 1-10,Kd,0.9283401966094971,0.39925599098205566,161
K<1 & 10-30,Kd,0.9278236627578735,0.36512577533721924,49
5-10 & 10-30,Kd,0.9248358011245728,0.3831298053264618,438
1-5 & T1<1,Kd,0.9094772338867188,0.3620736598968506,28
5-10 & T1<1,Kd,0.9025397896766663,0.43076273798942566,30
5-10 & 1-10,Ki,0.8844717144966125,0.06255469471216202,191
