,MAE,MSE,R2
Kp,0.6721282851258736,0.8244450240164277,-0.919344888388131
Ki,0.14627246861741852,0.03628592945337448,0.23660793105735756
Kd,0.27585324949243345,0.09916229591308107,0.01485970697874095
