,Kp,Ki,Kd,ISE,Overshoot,SettlingTime,RiseTime,Cost
Best ISE,9.455383344722732,0.27125103605865597,19.26917324075895,3.436977394985014,0.26090396428875196,402.2766787332797,175.1771310028011,1.168027315915221
Best Overshoot,11.567893612006069,0.07867378710856343,2.1609828202334382,14.119010802818238,0.0037410437054866408,323.3380139937524,173.95309108846774,1.1382623043867235
Best Settling Time,3.02026445030452,0.011490771975521952,0.9340848746888177,11.646623262340787,0.451419828396628,142.82220588243797,22.956944337560163,0.38640045619573266
Best Rise Time,17.545386861444655,15.822297459064076,0.44782738640697417,115.64383608078629,6.214203521792881,1410.4522235203292,0.43552429538774157,3.1282833842912208
