Region,Parameter,R2_log,MAE_log,Samples
5-10 & 30-75,Ki,0.9891127347946167,0.08397552371025085,10
K<1 & T1<1,Ki,0.9862268567085266,0.10198166221380234,21
10-20 & 30-75,Ki,0.985466718673706,0.09306342899799347,32
20-30 & 30-75,Kp,0.9825273156166077,0.057181041687726974,23
K<1 & T1<1,Kp,0.9778561592102051,0.051192499697208405,21
1-5 & T1<1,Ki,0.9768243432044983,0.11362544447183609,72
10-20 & 30-75,Kp,0.970934271812439,0.05977103114128113,32
20-30 & 30-75,Kd,0.9482671618461609,0.4606306254863739,23
5-10 & 30-75,Kp,0.9417850971221924,0.09249818325042725,10
5-10 & T1<1,Ki,0.9371342062950134,0.11469476670026779,113
20-30 & 30-75,Ki,0.9149881601333618,0.17776156961917877,23
10-20 & 30-75,Kd,0.9099292159080505,0.6200891733169556,32
1-5 & T1<1,Kp,0.9066776037216187,0.09361594170331955,72
K<1 & T1<1,Kd,0.8990084528923035,0.6913149356842041,21
5-10 & T1<1,Kp,0.8930674195289612,0.06541654467582703,113
5-10 & T1<1,Kd,0.8811325430870056,0.6705197095870972,113
1-5 & T1<1,Kd,0.8286067843437195,0.8397462368011475,72
5-10 & 30-75,Kd,0.7538899183273315,0.9412800073623657,10
