Region,Parameter,R2,MAE,Samples
K: 10-20 | T1: 1-10,Kd,0.9807596206665039,0.4702637791633606,225
K: 20-30 | T1: T1<1,Kd,0.9784088730812073,0.4893690049648285,66
K: 1-5 | T1: 1-10,Kd,0.9772657155990601,0.36273282766342163,111
K: >30 | T1: T1<1,Kd,0.9672569036483765,0.5127387642860413,130
K: K<1 | T1: 10-30,Kd,0.9574546813964844,0.48673850297927856,13
K: >30 | T1: 1-10,Kd,0.9565394520759583,0.4830392301082611,131
K: 10-20 | T1: T1<1,Kd,0.9494278430938721,0.8288484215736389,41
K: 5-10 | T1: 1-10,Kd,0.9309941530227661,0.6915503740310669,124
K: 1-5 | T1: 10-30,Kd,0.8955665826797485,0.4477652311325073,108
K: 20-30 | T1: 1-10,Kd,0.8792736530303955,0.8940362334251404,79
K: 5-10 | T1: T1<1,Kd,0.7725203633308411,1.3006294965744019,23
K: K<1 | T1: 1-10,Kd,0.6102790832519531,0.30879348516464233,37
K: K<1 | T1: 10-30,Ki,0.9469401240348816,1.314566731452942,13
K: 1-5 | T1: 10-30,Ki,0.9421971440315247,2.1601595878601074,108
K: 1-5 | T1: 1-10,Ki,0.9237037897109985,2.6319048404693604,111
K: >30 | T1: T1<1,Ki,0.9196273684501648,2.584913492202759,130
K: 10-20 | T1: 1-10,Ki,0.9104163646697998,2.5825209617614746,225
K: K<1 | T1: 1-10,Ki,0.9093189239501953,2.3822109699249268,37
K: 20-30 | T1: T1<1,Ki,0.9001305103302002,2.463139057159424,66
K: >30 | T1: 1-10,Ki,0.8957455158233643,3.2813985347747803,131
K: 5-10 | T1: 1-10,Ki,0.8952778577804565,2.8020267486572266,124
K: 5-10 | T1: T1<1,Ki,0.8776118159294128,4.793857574462891,23
K: 20-30 | T1: 1-10,Ki,0.8563424944877625,2.853834629058838,79
K: 10-20 | T1: T1<1,Ki,0.8044549822807312,2.6715123653411865,41
K: 10-20 | T1: T1<1,Kp,0.9593501091003418,2.4569156169891357,41
K: 5-10 | T1: 1-10,Kp,0.9420164823532104,2.5041894912719727,124
K: 1-5 | T1: 10-30,Kp,0.9349796772003174,2.1512556076049805,108
K: >30 | T1: T1<1,Kp,0.9281338453292847,2.516904830932617,130
K: 1-5 | T1: 1-10,Kp,0.9260166883468628,2.5548274517059326,111
K: K<1 | T1: 1-10,Kp,0.9252957701683044,2.27691388130188,37
K: 10-20 | T1: 1-10,Kp,0.9152164459228516,2.665668249130249,225
K: 20-30 | T1: T1<1,Kp,0.9141522645950317,2.5450806617736816,66
K: >30 | T1: 1-10,Kp,0.9099832773208618,2.9757485389709473,131
K: 20-30 | T1: 1-10,Kp,0.8944995999336243,2.8872523307800293,79
K: K<1 | T1: 10-30,Kp,0.8657982349395752,2.5819201469421387,13
K: 5-10 | T1: T1<1,Kp,0.7241441011428833,5.999477863311768,23
