,MAE,MSE,R2
Kp,0.02792415654473024,0.0025965296036719377,0.9931667287852073
Ki,0.0042534575726045154,0.0004940176084669565,0.9600099888178637
Kd,0.1869402409666304,0.12913223382471598,0.9887509050304704
