Region,Parameter,R2_log,MAE_log,Samples
1-5 & 30-75,Ki,0.9834679961204529,0.0534929521381855,10
20-30 & 30-75,Ki,0.9662972688674927,0.08880552649497986,24
20-30 & 30-75,Kp,0.964634358882904,0.055036962032318115,24
1-5 & 30-75,Kp,0.9597741365432739,0.05008208006620407,10
20-30 & 30-75,Kd,0.9477543234825134,0.33185967803001404,24
5-10 & 30-75,Kp,0.9467102885246277,0.039822082966566086,13
5-10 & 30-75,Ki,0.9229308366775513,0.06344221532344818,13
1-5 & 30-75,Kd,0.9167584776878357,0.42464679479599,10
10-20 & 30-75,Kp,0.9144607782363892,0.07403875142335892,14
10-20 & 30-75,Ki,0.9013674259185791,0.10038072615861893,14
10-20 & 30-75,Kd,0.8967441916465759,0.48709455132484436,14
5-10 & 30-75,Kd,0.6674968004226685,0.5289955139160156,13
