Region,Parameter,R2_log,MAE_log,Samples
5-10 & 10-30,Kp,0.9900520443916321,0.027676763013005257,36
5-10 & 10-30,Kd,0.9884299039840698,0.23706038296222687,36
K<1 & 30-75,Kp,0.9876125454902649,0.03338046744465828,12
20-30 & 1-10,Kd,0.9873287081718445,0.23754870891571045,38
20-30 & 1-10,Kp,0.9851956963539124,0.039575960487127304,38
20-30 & 10-30,Kp,0.9839563965797424,0.03296201676130295,84
1-5 & 1-10,Kp,0.9828130006790161,0.0274059921503067,10
5-10 & 30-75,Kp,0.98253333568573,0.03143199533224106,92
10-20 & 30-75,Kp,0.9812721014022827,0.034271240234375,200
1-5 & 10-30,Kp,0.9800788760185242,0.027218567207455635,30
10-20 & 10-30,Kp,0.97971111536026,0.033678945153951645,87
20-30 & 10-30,Ki,0.9793442487716675,0.057426922023296356,84
10-20 & 10-30,Ki,0.9780365824699402,0.05355295166373253,87
20-30 & 30-75,Kp,0.9771739840507507,0.0328608937561512,172
10-20 & 10-30,Kd,0.9759326577186584,0.25931787490844727,87
5-10 & 30-75,Kd,0.9751040935516357,0.29487013816833496,92
1-5 & 30-75,Kd,0.9723415970802307,0.30402088165283203,85
K<1 & 30-75,Kd,0.9714111685752869,0.41064178943634033,12
K<1 & 30-75,Ki,0.9707415699958801,0.08369674533605576,12
1-5 & 10-30,Ki,0.9670642614364624,0.04839398339390755,30
10-20 & 30-75,Kd,0.9653184413909912,0.2893468737602234,200
10-20 & 30-75,Ki,0.9641737937927246,0.05803794041275978,200
1-5 & 30-75,Kp,0.9600601196289062,0.04701398313045502,85
1-5 & 1-10,Kd,0.9570168852806091,0.4117801785469055,10
10-20 & 1-10,Kp,0.9570024013519287,0.05332478508353233,34
20-30 & 30-75,Ki,0.9544683694839478,0.06706811487674713,172
1-5 & 30-75,Ki,0.9480382204055786,0.08381424099206924,85
5-10 & 30-75,Ki,0.9463499188423157,0.06151560693979263,92
5-10 & 1-10,Kp,0.9442760944366455,0.07401330024003983,22
10-20 & 1-10,Kd,0.9441466331481934,0.4010716676712036,34
10-20 & 1-10,Ki,0.9431897401809692,0.08691241592168808,34
20-30 & 1-10,Ki,0.9361674189567566,0.06996192783117294,38
20-30 & 30-75,Kd,0.9353938102722168,0.37204277515411377,172
5-10 & 1-10,Ki,0.9349645376205444,0.09668271243572235,22
20-30 & 10-30,Kd,0.9345858097076416,0.37357547879219055,84
5-10 & 10-30,Ki,0.9335119724273682,0.04891308769583702,36
1-5 & 10-30,Kd,0.9316059350967407,0.28738531470298767,30
1-5 & 1-10,Ki,0.9268872737884521,0.053900718688964844,10
5-10 & 1-10,Kd,0.754115641117096,0.6791330575942993,22
