Region,Parameter,R2,MAE,Samples
K: 5-10 | T1: T1<1,Kd,0.9927851557731628,0.13646049797534943,19
K: 1-5 | T1: 10-30,Kd,0.990622878074646,0.08806787431240082,20
K: 5-10 | T1: 1-10,Kd,0.9696359634399414,0.22514569759368896,89
K: 1-5 | T1: 1-10,Kd,0.9658783674240112,0.1460011601448059,170
K: 1-5 | T1: T1<1,Kd,0.9635358452796936,0.22998124361038208,29
K: 5-10 | T1: T1<1,Ki,0.8810243606567383,0.09174612164497375,19
K: 1-5 | T1: 10-30,Ki,0.8800305724143982,0.06285635381937027,20
K: 1-5 | T1: T1<1,Ki,0.8719059824943542,0.10621252655982971,29
K: 5-10 | T1: 1-10,Ki,0.8079670667648315,0.07455917447805405,89
K: 1-5 | T1: 1-10,Ki,0.7865555286407471,0.08334502577781677,170
K: 1-5 | T1: T1<1,Kp,0.9966303706169128,0.1274498552083969,29
K: 5-10 | T1: T1<1,Kp,0.9642941951751709,0.16968926787376404,19
K: 1-5 | T1: 1-10,Kp,0.9599459171295166,0.18770617246627808,170
K: 5-10 | T1: 1-10,Kp,0.9583645462989807,0.22594726085662842,89
K: 1-5 | T1: 10-30,Kp,0.9434248805046082,0.13315698504447937,20
