,Best Equation,R2,MAE
Kp,"complexity                                                      15
loss                                                       0.00033
equation         (log(K) * -0.43325377) + ((0.33106428 / ((T1_T...
score                                                     0.646438
sympy_format     0.33106428*T1_T2_ratio**0.5/(T1_T2_ratio + 0.9...
lambda_format    PySRFunction(X=>0.33106428*T1_T2_ratio**0.5/(T...
Name: 11, dtype: object",0.9988248140206459,0.0035145248029023095
Ki,"complexity                                                      14
loss                                                      0.000302
equation         (0.47379386 - (log(K_T2 + K_T1) * 0.4341115)) ...
score                                                     0.661285
sympy_format     -0.4341115*log(K_T1 + K_T2) + 0.47379386 - 5.9...
lambda_format    PySRFunction(X=>-0.4341115*log(K_T1 + K_T2) + ...
Name: 10, dtype: object",0.999775094709188,0.001493513728983078
Kd,"complexity                                                      21
loss                                                       0.09554
equation         exp(2.0017152 - (((T1_T2_ratio + (exp(0.071965...
score                                                     0.206967
sympy_format     -6.006373 + 7.40174068314121*exp(-(0.024239544...
lambda_format    PySRFunction(X=>-6.006373 + 7.40174068314121*e...
Name: 17, dtype: object",0.49233390024582024,0.2724388182379706
