,MAE,MSE,R2
Kp,0.05446645243445279,0.023189135209586268,0.9292288910598522
Ki,0.005368432114865869,0.00034829498390886185,0.9758029563175941
Kd,17.94247526676571,53200.682938587095,-3127.0671850254616
