y_true,y_pred,abs_error,rel_error_%
0.17048602,0.18050566,0.010019645,5.877107
0.16855286,0.1412306,0.027322263,16.209908
0.3840836,0.40354523,0.019461632,5.06703
0.056377206,0.07549089,0.019113686,33.903217
0.86943674,1.1050339,0.23559713,27.097673
0.2931233,0.38200682,0.08888352,30.32291
2.2129824,2.8222897,0.6093073,27.53331
0.058246244,0.06758598,0.009339739,16.03492
1.9011753,1.4154859,0.4856894,25.546797
2.825114,2.8222897,0.0028243065,0.09997141
1.1763661,1.0688088,0.1075573,9.143183
0.07381326,0.07916529,0.0053520277,7.2507668
0.12354027,0.17543428,0.05189401,42.00574
1.9862677,1.5916629,0.3946048,19.866648
0.08008426,0.07916529,0.0009189695,1.1475034
0.14119603,0.11823388,0.022962146,16.2626
0.4539792,0.90526235,0.45128316,99.40613
1.3711926,1.4244533,0.053260684,3.88426
0.08018136,0.46431172,0.38413036,479.07687
0.09706266,0.13428345,0.03722079,38.347176
0.15508193,0.17543428,0.020352349,13.123611
0.16588134,0.17543428,0.009552941,5.7589
2.0599775,1.6509354,0.40904212,19.85663
0.16958074,0.25429296,0.08471222,49.953915
0.08271072,0.09927557,0.016564846,20.027447
0.07150288,0.10055161,0.029048733,40.625965
0.4108469,0.46722895,0.05638206,13.723375
0.34455422,0.2690243,0.0755299,21.921051
0.22204919,0.91390145,0.6918523,311.5761
1.9870812,2.015896,0.028814912,1.4501125
0.1018677,0.093365215,0.008502483,8.346594
2.12217,2.2367592,0.114589214,5.399625
0.35299662,0.40354523,0.050548613,14.319857
0.88180727,0.8798728,0.0019344687,0.21937546
0.18718866,2.2009327,2.013744,1075.7832
0.095020704,0.08093135,0.014089353,14.827666
1.1170355,0.27493054,0.842105,75.38748
0.08278744,0.07916529,0.003622152,4.375243
1.1871598,2.000148,0.8129883,68.48179
1.9786168,2.015896,0.03727925,1.8841065
0.19295341,0.20510073,0.012147322,6.295469
0.8211491,0.097261004,0.7238881,88.155495
0.23213877,0.21521929,0.016919479,7.2885194
0.8471698,0.90526235,0.058092535,6.8572483
1.3559078,1.4244533,0.06854546,5.055319
0.5766457,0.74884295,0.17219728,29.861889
0.48150957,0.42052504,0.060984522,12.6652775
1.4931267,1.1613884,0.33173835,22.217695
1.08367,1.066298,0.017372012,1.6030722
1.0635245,1.066298,0.0027735233,0.26078603
1.4869466,2.000148,0.5132015,34.513783
0.086796656,0.12720194,0.04040529,46.551662
