y_true,y_pred,abs_error,rel_error_%
0.09875551,0.08969227,0.009063236,9.177449
0.23643385,0.24944799,0.013014138,5.5043464
0.12269247,0.08839793,0.034294546,27.95163
0.33728057,0.6012517,0.26397115,78.26456
0.05240753,0.15316297,0.10075544,192.25374
1.0602928,1.3239398,0.26364696,24.865486
0.112035945,0.20980977,0.09777382,87.27004
1.176586,1.4099922,0.23340619,19.83758
1.3059396,1.2889817,0.016957879,1.2985195
0.28061652,0.3797492,0.09913269,35.326748
1.0857254,0.8494775,0.2362479,21.759453
0.122213855,0.13692111,0.014707252,12.034031
7.996193,6.0574174,1.9387755,24.246231
1.0866648,1.2835033,0.1968385,18.114002
3.3939643,9.201965,5.808001,171.12735
0.48477715,0.5111376,0.026360452,5.437643
12.839912,9.385462,3.4544506,26.904005
0.68323344,0.6115744,0.07165903,10.48822
0.032079414,0.21542557,0.18334615,571.5384
0.11351441,0.097534314,0.015980095,14.077592
0.18276237,1.208025,1.0252626,560.98126
0.3460505,0.206075,0.1399755,40.449444
0.18010509,0.49590972,0.31580463,175.34465
3.850036,2.5896628,1.2603731,32.736656
9.801254,10.00916,0.20790577,2.121216
1.9119623,3.1130748,1.2011125,62.82093
2.9076583,4.424306,1.5166476,52.16045
0.7647069,1.4283581,0.66365117,86.78504
0.41150266,0.3435428,0.067959845,16.515043
0.76619005,1.1110241,0.3448341,45.00634
3.5793445,3.6889415,0.10959697,3.0619285
1.310645,3.024754,1.7141091,130.78363
0.6829862,1.6596069,0.97662073,142.99275
4.260251,3.2070222,1.0532289,24.722225
0.29723105,0.34564298,0.048411936,16.287645
5.77107,3.719533,2.051537,35.54864
0.35356134,0.36038628,0.0068249404,1.9303412
0.8437612,4.046936,3.2031748,379.6305
0.5553001,0.9915446,0.4362445,78.560135
0.3305174,0.1802926,0.1502248,45.451405
1.8840629,2.3361166,0.45205367,23.993555
0.15042168,0.2533135,0.10289183,68.40227
3.2936609,2.5410776,0.75258327,22.849445
12.901239,5.8995466,7.001693,54.271473
0.6281518,0.6974455,0.06929374,11.031368
0.76373774,0.9036708,0.13993305,18.322134
1.4062111,1.1676924,0.23851871,16.9618
14.323212,4.18135,10.141861,70.807175
2.2366586,1.9181738,0.31848478,14.239311
0.049704798,0.07546439,0.025759593,51.82516
5.058323,3.830886,1.227437,24.26569
0.82400084,2.1221478,1.298147,157.54195
0.27219972,0.52765155,0.25545183,93.847206
0.59922546,0.5788392,0.020386279,3.4021049
0.3590472,0.37177974,0.012732536,3.546201
0.3774589,0.36953843,0.007920474,2.0983672
1.2537749,1.3088202,0.055045366,4.390371
0.13104434,0.11730198,0.013742365,10.486805
12.688053,7.060546,5.627507,44.352802
20.918903,10.205759,10.713144,51.212746
9.728326,5.7370563,3.9912696,41.0273
9.63891,4.8256297,4.8132806,49.935944
15.597287,5.7630267,9.834261,63.051098
1.659504,3.3220458,1.6625417,100.18305
3.581817,3.3741984,0.20761847,5.7964573
0.16504155,0.15430449,0.0107370615,6.5056715
0.107647456,0.18375331,0.076105855,70.699165
1.9993403,1.3316684,0.6676719,33.39461
0.5901388,0.5827011,0.007437706,1.2603316
0.33990484,0.27424562,0.065659225,19.316944
1.4117123,1.9229751,0.5112628,36.21579
0.7518258,0.45900515,0.29282066,38.94794
11.8112955,10.59741,1.2138853,10.277326
4.8869658,4.018265,0.868701,17.775877
3.2709162,2.4290776,0.8418386,25.73709
0.36881322,0.57914996,0.21033674,57.030697
0.4444584,0.58440864,0.13995025,31.487818
39.79843,32.3581,7.4403305,18.695036
0.24588208,0.2997642,0.053882107,21.913801
0.14916834,-0.0063484637,0.1555168,104.255905
2.1407146,3.7388134,1.5980988,74.65258
2.576789,3.1644983,0.5877094,22.807821
2.94099,2.757217,0.18377304,6.2486796
0.026606277,0.099483654,0.07287738,273.91046
0.166224,0.23328424,0.06706023,40.343292
0.4726922,0.6442963,0.1716041,36.303562
0.2881219,1.0929768,0.80485487,279.34525
0.47850394,0.53337157,0.054867625,11.466494
1.151563,2.7890625,1.6374995,142.19798
0.4368839,0.68382263,0.24693874,56.52274
