y_true,y_pred,abs_error,rel_error_%
0.63174665,0.9284793,0.29673266,46.9702
0.014839659,0.04449093,0.02965127,199.81099
4.7773314,3.7184448,1.0588865,22.164814
0.5592285,0.51856554,0.040662944,7.2712584
0.27403346,0.41505918,0.14102572,51.46296
0.78208864,1.3705955,0.5885068,75.2481
0.78438944,0.47154942,0.31284,39.88325
0.057473842,0.04958845,0.007885393,13.719968
1.2011338,0.90569127,0.29544258,24.596973
1.1173161,2.7301483,1.6128322,144.34879
0.6521979,0.3079817,0.3442162,52.777874
0.22349226,0.27003866,0.0465464,20.82685
0.016302269,0.048023343,0.031721074,194.58073
0.2007436,0.20067452,6.908178e-05,0.034412943
0.49674863,0.36315998,0.13358864,26.892603
0.047811165,0.15603761,0.10822645,226.36229
2.0953796,1.5019395,0.59344006,28.321363
0.68142194,0.5248662,0.15655571,22.974855
0.5324608,0.59378386,0.061323047,11.516912
5.1740937,5.3372736,0.16317987,3.1537867
11.745408,4.048168,7.69724,65.534035
3.3275917,3.5874395,0.25984788,7.808887
0.914508,1.2782991,0.3637911,39.779984
0.19382782,0.22975017,0.03592235,18.533123
0.6547857,0.75537264,0.10058695,15.361813
0.21052724,0.23633023,0.025802985,12.256364
0.3524865,0.64259386,0.29010737,82.303116
0.6310228,1.6810191,1.0499963,166.39594
2.339093,3.155518,0.8164251,34.903492
0.036433905,0.06488398,0.028450072,78.0868
3.9874332,4.748919,0.7614858,19.097143
0.430107,0.3573218,0.0727852,16.922579
0.2696317,0.04932732,0.2203044,81.705666
0.027926026,0.034592737,0.0066667106,23.87275
2.4073253,3.006577,0.59925175,24.892845
0.28517282,0.12511928,0.16005354,56.125103
0.5934135,0.69177186,0.09835839,16.575018
2.298288,2.2100239,0.08826423,3.8404336
7.803341,3.954505,3.848836,49.322926
0.39118445,0.6071713,0.21598685,55.213554
3.2199526,1.8354397,1.3845129,42.99793
1.2288909,1.4056516,0.17676067,14.383757
1.7270873,1.3548024,0.3722849,21.55565
0.9387107,0.7735281,0.16518259,17.596752
0.32026795,0.43590885,0.11564091,36.107548
0.29995257,0.42239922,0.122446656,40.822006
0.2120758,0.3046372,0.092561394,43.64543
0.24416865,0.2798042,0.035635546,14.594644
0.60348123,0.36156344,0.24191779,40.087044
1.2765619,1.2582839,0.018278003,1.4318149
13.673112,12.479224,1.1938877,8.731646
0.6459177,0.6069777,0.038940012,6.0286336
10.475796,4.696496,5.7792997,55.168125
0.2613244,0.22003673,0.041287675,15.799395
0.33267814,0.33876982,0.006091684,1.8311044
10.430034,5.5511794,4.8788543,46.776978
0.94536024,1.8536134,0.90825313,96.074814
0.063720174,0.18604116,0.12232099,191.96587
16.826706,4.7187634,12.107943,71.9567
0.12156402,0.011257693,0.11030633,90.73929
1.1217613,0.7965685,0.3251928,28.989481
1.3091321,1.245408,0.06372404,4.8676558
1.0968872,0.6695553,0.42733192,38.958603
0.2517718,0.807567,0.5557952,220.75356
10.375746,7.7513924,2.6243534,25.293154
0.35543278,0.5123701,0.15693733,44.15387
0.352354,0.226798,0.12555599,35.63348
5.389685,5.700629,0.31094408,5.7692437
2.8135316,1.5783505,1.2351811,43.901447
0.28898987,0.59530103,0.30631116,105.99374
1.5049794,1.8744395,0.3694601,24.549181
0.05976767,0.21489275,0.15512508,259.5468
7.7824926,4.968063,2.8144298,36.1636
1.2006687,2.160154,0.9594854,79.91258
0.26912192,0.753394,0.4842721,179.94524
0.3214485,0.3185454,0.0029031038,0.90313184
0.46337858,0.39436725,0.06901133,14.893078
0.083879165,0.08299566,0.00088350475,1.0533066
2.1071622,1.2126935,0.8944688,42.448975
0.6916995,0.7024616,0.010762095,1.5558918
2.2848978,4.255644,1.970746,86.250946
0.27596045,0.5980722,0.32211173,116.72388
16.30482,10.299461,6.0053577,36.831795
0.92766726,1.2215462,0.2938789,31.679346
2.2419946,2.5030015,0.26100683,11.641725
0.3705784,0.5744493,0.20387089,55.014236
0.946041,0.9725615,0.02652049,2.803313
0.30609828,0.40223107,0.096132785,31.405855
1.6053003,1.0088909,0.59640944,37.152515
1.413988,0.9804481,0.43353987,30.66079
0.76536,0.7662002,0.0008401871,0.10977671
1.2057915,1.5795977,0.37380624,31.000902
1.2790152,3.5299764,2.2509613,175.99176
1.0620159,0.61569524,0.44632065,42.0258
2.3128922,4.20038,1.8874876,81.60725
0.024040688,0.24993975,0.22589907,939.6531
0.27086934,0.25613636,0.014732987,5.439149
1.8013324,2.196608,0.3952757,21.94352
6.0130696,4.1651993,1.8478703,30.730898
0.090592556,0.41970998,0.32911742,363.29413
0.26299196,0.21450868,0.048483282,18.43527
4.4484396,4.126109,0.32233047,7.245922
0.3448528,0.45022926,0.10537645,30.556936
0.17495248,0.15950608,0.015446395,8.828909
0.5724599,0.85482156,0.2823617,49.324276
0.21668498,0.19529521,0.021389768,9.8713665
0.3546878,0.4811893,0.1265015,35.665592
0.55835056,0.76441836,0.2060678,36.90653
1.6262772,1.0535035,0.5727737,35.21993
0.48314244,0.4465698,0.036572635,7.5697417
0.64140487,0.6089921,0.032412767,5.053402
0.5357515,0.78979826,0.25404674,47.418762
0.045866136,0.25722298,0.21135685,460.8124
0.9663452,0.42099667,0.5453485,56.43413
0.65816736,0.9798095,0.32164216,48.869354
0.3377321,0.59057975,0.25284764,74.86633
0.7896457,0.37484595,0.41479972,52.529854
0.6291887,0.58824646,0.04094225,6.507149
0.072290964,0.08814326,0.015852295,21.92846
0.17067358,0.15512617,0.01554741,9.109441
0.614842,0.76617515,0.15133315,24.61334
0.795729,0.35693133,0.43879765,55.144108
1.0918674,3.6408339,2.5489664,233.45016
0.98687553,0.9038347,0.08304083,8.414519
4.18661,4.1725326,0.014077663,0.33625445
0.45822448,0.49574706,0.037522584,8.18869
0.36597332,0.5545126,0.1885393,51.517223
0.07569009,0.23992732,0.16423723,216.98643
1.0752172,1.161896,0.08667874,8.06151
0.035667077,0.039157797,0.00349072,9.786952
1.6899961,1.2532544,0.4367417,25.842764
4.4011784,4.556473,0.15529442,3.5284736
0.03675572,0.11999375,0.08323803,226.4628
0.35626686,0.32786006,0.028406799,7.973461
0.5520748,0.50407004,0.048004746,8.6953335
7.8797326,3.4885702,4.3911624,55.727303
0.015857495,0.009144605,0.00671289,42.3326
5.1733594,5.028998,0.1443615,2.7904787
0.42284742,0.2698384,0.15300903,36.1854
0.39619923,0.37606984,0.020129383,5.0806212
0.1723165,0.08989072,0.08242579,47.833946
0.028068982,-0.0055667204,0.033635702,119.83228
0.37380114,0.19305438,0.18074676,48.35372
25.638418,16.917274,8.721144,34.01592
0.015894348,0.028730094,0.012835747,80.756676
0.56441534,0.60544324,0.041027904,7.269098
0.6804465,0.6998056,0.019359112,2.84506
0.0556877,0.15943289,0.10374519,186.29822
0.26655224,0.5392864,0.27273414,102.31921
0.18764077,0.22900121,0.041360438,22.04235
8.443087,2.7033148,5.739772,67.98191
0.018165722,0.008805074,0.009360649,51.529182
