,Kp,Ki,Kd,ISE,Overshoot,SettlingTime,RiseTime,Cost
Best ISE,5.522096219943306,0.4928857664558155,0.5457680557815809,0.025750949635132053,0.10974244514050244,0.9337792861071273,4.8188554553761325,0.05218991032732333
Best Overshoot,6.277131555326563,0.52245795773109,0.5271853895025446,1.066197426407942,4.202918479884188e-06,0.07680671904606362,7.292311290044161,0.04449749123742337
Best Settling Time,6.252633085886204,0.5277410857476319,0.4657556363175779,1.1151607694162415,0.0013742456518976987,0.026504333129937607,7.29126029341503,0.045176820817236354
Best Rise Time,9.472647182715159,6.977987608166991,2.4365680718058247,43.0670190996253,3.1357022662124763,516.8374248298815,0.017990227241886536,1.365436873351459
