Target,MAE,MSE,R2
Kp,0.7156663446029997,0.7267949848567797,-0.49623914143276915
Ki,0.2715980625219391,0.10953943875074092,-0.6224521417652042
Kd,0.2870753657791809,0.11721812177654102,-0.6212461032330958
