,Kp,Ki,Kd,ISE,Overshoot,SettlingTime,RiseTime,Cost
Best ISE,4.449146845209805,7.830801716773038,6.719667245828643,1000000.0,1000000.0,1000000.0,1000000.0,263000.0
Best Overshoot,4.449146845209805,7.830801716773038,6.719667245828643,1000000.0,1000000.0,1000000.0,1000000.0,263000.0
Best Settling Time,4.449146845209805,7.830801716773038,6.719667245828643,1000000.0,1000000.0,1000000.0,1000000.0,263000.0
Best Rise Time,4.449146845209805,7.830801716773038,6.719667245828643,1000000.0,1000000.0,1000000.0,1000000.0,263000.0
