,MAE,MSE,R2
Kp,147.691108127467,29045.55589268863,-2.9634975601904117
Ki,143.42562946561745,28256.194429886862,-2.634595677709542
Kd,152.91578844492687,30867.870717404483,-3.0691702575030986
