,Kp,Ki,Kd,ISE,Overshoot,SettlingTime,RiseTime,Cost
Best ISE,40.881597028067176,13.017397133522767,70.0954748209577,0.17069053331463893,2.936192778330119,1303.2752209735484,62.96122595562847,1.701772113847306
Best Overshoot,17.61849030837967,0.21466604915079301,4.5789391104969255,21.29638130681693,0.013440105347281545,468.53134532191916,260.1359960635578,1.698028539116696
Best Settling Time,88.5402158977443,10.613249870400985,6.692777148556495,169.41048812128483,1.7061850106364158,104.42403741736244,445.2636469409992,3.9756551669824174
Best Rise Time,45.41293569013829,77.97981140609022,37.61106697760114,493.1166546919103,20.964896177436888,8849.087841377663,0.013733560081339469,13.364211543037786
