,MAE,MSE,R2
Kp,37.38928242568026,2589.0900434722357,0.6466980315911731
Ki,52.17229843995255,4338.41971030174,0.4419488595224915
Kd,41.40514565062702,2912.5821489797722,0.6160476126887349
