,MAE,MSE,R2
Kp,38.52654382432908,2650.5063032108546,0.6383172935350869
Ki,52.748212928497395,4355.943462938174,0.43969477835994597
Kd,41.93431455938028,2946.0986156055396,0.6116292901429795
