,R2,MAE
ISE,0.7659234837634701,0.03668839872075217
Overshoot,0.7905250154796065,1.5338894025786363
SettlingTime,0.905560763800993,1.1784810881045902
RiseTime,0.3270118843238531,0.25891200284353477
