,MAE,MSE,R2
Kp,44.879862561723996,3400.4685418161725,0.5273172385132232
Ki,57.05904962998127,5070.259770075849,0.3101382286680895
Kd,46.83181095113457,3694.8808222338403,0.517326118404027
