type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,type_PT1,type_PT1+Td,type_PT2,type_PT2+Td,ISE,rise_time,ss_error
PT1+Td,2.340705608370487,29.79516251124653,0.0,2.118115655932173,,,[2.340705608370487],"[29.79516251124653, 1]",1,20,2.3740318981226456,0.1226540122839903,0.697000469756287,26.313156578289146,5.102551275637818,0.0360753513643912,good,False,True,False,False,6.051245065148692,1.7485703392369063,49.0
PT1+Td,2.9233232740656905,45.47024323762043,0.0,0.7400593226261716,,,[2.9233232740656905],"[45.47024323762043, 1]",1,20,2.680050055793314,0.0874466402686052,0.1054416347818308,31.015507753876932,5.60280140070035,0.0280361144269797,good,False,True,False,False,7.261521858505404,1.9200248576565881,49.0
PT1+Td,0.9361506785989298,36.6146084792533,0.0,2.1894843584978605,,,[0.9361506785989298],"[36.6146084792533, 1]",1,20,0.7431328013796935,0.0292807033724314,0.1441884414920853,165.28264132066033,42.82141070535268,0.0031688718640504,good,False,True,False,False,4.227905359616521,0.037919487374384754,49.0
PT1,1.2790219213824314,11.853314197287956,0.0,0.0,,,[1.2790219213824314],"[11.853314197287956, 1]",1,20,0.9546923532980882,0.9765848721268192,0.0467422785229074,9.004502251125562,3.301650825412706,0.4082270556301017,good,True,False,False,False,9.210440366976517,-4.93518115237145,49.0
PT1,2.245809906295187,43.37166100595374,0.0,0.0,,,[2.245809906295187],"[43.37166100595374, 1]",1,20,1.3714337860478318,0.5104650253883432,0.7644562249446523,17.6088044022011,6.003001500750375,0.4181503091378922,good,True,False,False,False,6.666693180276803,3.7538133874157684,49.0
PT1,1.0652965698358194,49.426818362645605,0.0,0.0,,,[1.0652965698358194],"[49.426818362645605, 1]",1,20,1.4459534635340523,0.8548939983412615,0.9359413817611686,22.01100550275137,8.004002001000499,0.5549776121453188,good,True,False,False,False,8.462161002370578,3.5648291780260632,49.0
PT1,0.7205076199611994,36.37241601197204,0.0,0.0,,,[0.7205076199611994],"[36.372416011972035, 1]",1,20,1.743138270125809,0.4188685394913816,0.9135606725605911,32.416208104052025,11.50575287643822,0.342987975059314,good,True,False,False,False,7.754398048118768,1.395800017148696,49.0
PT2+Td,2.6002832935817244,12.4014726540558,2.3851449984850768,4.997714376264823,,,[2.6002832935817244],[29.57931047 14.78661765  1.        ],1,20,0.9176774015232212,0.0677626057745581,0.579617026864886,21.61080540270135,6.3031515757878935,0.0,good,False,False,False,True,5.120652874766045,1.4762310460168164,49.0
PT2,2.8881900638881004,2.5625414495272167,12.77372982726059,0.0,,,[2.8881900638881004],[32.73321215 15.33627128  1.        ],1,20,2.266555874201058,0.5261551372336195,0.6117675945768212,7.503751875937969,2.901450725362681,0.4500256135271693,good,False,False,True,False,9.210440366976517,11.088535908141349,49.0
PT1+Td,2.062004004390261,1.9687133503527807,0.0,1.3117494182828155,,,[2.0620040043902614],"[1.9687133503527807, 1]",1,20,0.5684864625181852,0.5900558616298881,0.2958468357211667,4.8024012006003,1.4007003501750874,0.0786573007889409,good,False,True,False,False,5.329726192941065,-0.4474342543907719,49.0
PT1,0.592069616382233,3.846874181775502,0.0,0.0,,,[0.592069616382233],"[3.846874181775502, 1]",1,20,0.619719434467467,0.9513634068848846,0.2658740324840076,8.704352176088044,3.4017008504252124,0.1980388830419668,good,True,False,False,False,8.586882172554908,-0.8193896585864254,49.0
PT1+Td,0.7262848845038845,34.370124334647016,0.0,2.729979211396617,,,[0.7262848845038845],"[34.370124334647016, 1]",1,20,1.2134911332743106,0.0895490059945067,0.1133336472973846,74.33716858429214,24.212106053026517,0.1061640027700603,good,False,True,False,False,5.867261708180402,0.20332582471718877,49.0
PT2+Td,2.8731632398958853,10.479485677594427,46.44304769984113,4.185564424435019,,,[2.8731632398958853],[486.69925319  56.92253338   1.        ],1,20,2.0455620788681577,0.1659442753532816,0.5004590967982211,29.31465732866433,11.705852926463232,0.6083523092017805,good,False,False,False,True,8.054446057074868,1.9906790638147054,49.0
PT1,0.6132743070880091,35.654310099525446,0.0,0.0,,,[0.6132743070880091],"[35.654310099525446, 1]",1,20,1.9374846372819745,0.0786667104275726,0.4107027369225862,100.15007503751876,25.51275637818909,0.0250838264841216,good,True,False,False,False,5.4685017290322895,0.13410902145668177,49.0
PT2+Td,2.9877719654556154,28.35912028731202,13.550259713497184,3.902811210964188,,,[2.9877719654556154],[384.27344514  41.90938      1.        ],1,20,0.8638545439500684,0.0160915017556837,0.4382934186509635,44.122061030515255,19.50975487743872,0.0287273049503169,good,False,False,False,True,6.5755526372082675,0.4281430957867993,49.0
