y_true_orig,y_pred_orig,abs_error,rel_error_percent
158.11655,75.44676,82.669785,52.28408
106.6519,30.430662,76.22124,71.4673
55.35124,2.6747942,52.676445,95.1676
50.067917,86.71706,36.64914,73.19885
66.65678,31.483932,35.172844,52.767094
67.95197,35.19187,32.7601,48.21067
102.06452,134.09132,32.026802,31.378977
22.267855,39.520306,17.25245,77.47694
7.776527,2.5641809,5.212346,67.02666
38.077477,34.16457,3.9129066,10.276171
1.3894267,4.796917,3.4074903,245.24432
25.43905,24.105808,1.3332424,5.2409286
