y_true_orig,y_pred_orig,abs_error,rel_error_percent
12.107716,2.7545426,9.353173,77.249695
14.864006,6.699874,8.164132,54.925518
6.38521,2.7350788,3.6501312,57.165405
2.9956486,6.385551,3.3899024,113.16088
6.420355,8.74365,2.3232956,36.186405
2.977206,0.68235505,2.2948508,77.08069
1.4370453,2.842911,1.4058657,97.83029
5.148993,4.3239217,0.82507133,16.023935
0.65160173,0.18047132,0.47113043,72.30344
0.15926221,0.4570357,0.29777348,186.97058
1.7039171,1.9778225,0.2739054,16.07504
2.6445684,2.8867812,0.24221277,9.158877
