,Kp,Ki,Kd,ISE,Overshoot,SettlingTime,RiseTime,Cost
Best ISE,12.042199547727193,1.1056646919406141,18.322983928941145,7.169752884041388,0.578266719328017,339.7547296987267,89.72570079709003,0.7809969308769211
Best Overshoot,17.90388572384887,0.1312882572751981,0.23253202570733222,29.091113542826452,0.0017032375331001715,483.10031166951387,359.18754729160213,2.110641485533109
Best Settling Time,3.8763384791437367,0.011310077718103884,1.3560710912521596,13.471042809204105,0.4978053140546356,139.1107248169941,27.503799227218654,0.3652032940812595
Best Rise Time,17.117790364932308,19.04950075029624,2.027655703520203,145.17078827155814,6.759497599883022,1943.4790006446085,0.5412156560487682,3.0272469492521994
