Kp,Ki,Kd,ISE,Overshoot,SettlingTime,RiseTime,Cost
0.5057045273330509,1.9999760063025,1.997872793156192,0.11110775527078501,0.1558829146736694,0.02017210143454489,3.9731811632186553,0.8742903379736879
0.5090774069464281,1.997418485679114,1.996382523447949,0.11281803880611943,0.15559255773942635,0.007822035798713704,3.9509490997018135,0.8679999541704385
0.5107028812251224,1.9935629153066068,1.9895571045813991,0.1165681444088075,0.1554024339478379,0.000808130897107566,3.9451941531929164,0.8669082013710955
0.5089874373372838,1.9904258398419654,1.9900041334404404,0.1179840135105045,0.15531011517302187,0.006377076482102666,3.9658165509208656,0.8726943539193999
0.509433726747156,1.988418092078048,1.9822032949640738,0.12106060990446812,0.1552972667116769,0.003664731418348492,3.9656880031480517,0.8733542442174027
0.49910798318065597,1.97683004568706,1.9982849690084574,0.12240150158415722,0.15493677698157507,0.039750633956055985,4.07569634300475,0.903037351422139
0.5096165991319883,1.980412867672711,1.9898741359377552,0.12299756533758935,0.1547276315167109,0.0026311282916441844,3.9817610544944495,0.8770229889955967
0.5028093831022828,1.9660008262580857,1.9949934580773774,0.12870129762567287,0.15420121235813497,0.024791603847265913,4.068037669260229,0.9008866161433952
0.5052075723355807,1.9462593471701803,1.9936436216369366,0.1388919627065616,0.15301056011970152,0.013238226833448934,4.086212181745941,0.9060489788224428
0.5002901256912269,1.9247532602676434,1.979992400285079,0.15313280978706648,0.15228670443631634,0.025672292768352416,4.166878182501209,0.9302205598560023
0.5030952137217639,1.8810073811942916,1.9942680297482327,0.1710908825269474,0.14950931522138675,0.010716032025085913,4.22376509783418,0.9452344420269095
