Region,Parameter,R2,MAE,Samples
K: 1-5 | T1: 10-30,Kd,0.9907606244087219,0.1717199832201004,68
K: 5-10 | T1: 1-10,Kd,0.9885280132293701,0.12547747790813446,279
K: 5-10 | T1: T1<1,Kd,0.976690411567688,0.1422787755727768,65
K: 1-5 | T1: 1-10,Kd,0.9681891798973083,0.18999411165714264,484
K: 1-5 | T1: T1<1,Kd,0.930142343044281,0.21121320128440857,77
K: 1-5 | T1: 10-30,Ki,0.8842238783836365,0.0831165611743927,68
K: 5-10 | T1: T1<1,Ki,0.8574977517127991,0.0750228688120842,65
K: 5-10 | T1: 1-10,Ki,0.7727665901184082,0.07765641808509827,279
K: 1-5 | T1: 1-10,Ki,0.7341735363006592,0.07351458072662354,484
K: 1-5 | T1: T1<1,Ki,0.6377865076065063,0.13613279163837433,77
K: 1-5 | T1: 10-30,Kp,0.9613530039787292,0.2234165370464325,68
K: 5-10 | T1: 1-10,Kp,0.9506060481071472,0.19147200882434845,279
K: 5-10 | T1: T1<1,Kp,0.9448273181915283,0.2006673514842987,65
K: 1-5 | T1: 1-10,Kp,0.9364570379257202,0.21846361458301544,484
K: 1-5 | T1: T1<1,Kp,0.8999265432357788,0.31896713376045227,77
