y_true_orig,y_pred_orig,abs_error,rel_error_percent
39.651318,11.659511,27.991806,70.594894
12.044678,3.8255048,8.219173,68.23905
7.938149,2.9611433,4.977006,62.69731
8.684136,3.8550858,4.8290505,55.607723
7.1435747,2.3291042,4.8144703,67.39581
18.277704,14.199147,4.078557,22.314384
17.62135,13.615671,4.005678,22.73196
9.7180605,6.542107,3.1759534,32.68094
4.3282537,1.7098155,2.6184382,60.49641
3.9440498,6.460994,2.516944,63.81623
2.6977167,5.2002254,2.5025086,92.763954
6.644552,4.4231014,2.2214508,33.432663
3.5777285,1.3602481,2.2174804,61.98012
5.7898917,3.638393,2.1514988,37.15957
2.4521039,4.419448,1.967344,80.230865
10.183313,8.218793,1.9645205,19.291565
11.279425,9.412235,1.8671894,16.553942
3.1522927,1.2862482,1.8660445,59.19642
2.5839262,4.3638988,1.7799726,68.88635
3.6576164,1.9004128,1.7572036,48.042313
5.4461465,7.099763,1.6536164,30.363056
3.085023,1.4823203,1.6027026,51.951077
2.2659037,3.8570933,1.5911896,70.223175
2.4274044,0.8647771,1.5626273,64.37441
4.774132,3.2703948,1.503737,31.497602
4.400971,5.9010835,1.5001125,34.085945
12.204269,13.649644,1.4453745,11.843187
1.8040029,3.1751132,1.3711103,76.00378
2.4086702,1.1580129,1.2506573,51.923145
2.2482576,3.4964113,1.2481537,55.516487
3.4688046,4.6735044,1.2046998,34.729538
14.721128,15.882711,1.161583,7.8905835
10.44785,9.354077,1.0937729,10.46888
1.0963349,2.0247416,0.9284067,84.68276
0.8907089,2.3293449e-05,0.8906856,99.99739
1.0151451,1.8792615,0.86411643,85.12246
7.0109324,7.859169,0.84823656,12.098769
16.133211,16.934711,0.8015003,4.9680147
2.0491223,1.253248,0.79587436,38.839767
1.3697424,2.101208,0.7314656,53.40169
1.17167,0.44604778,0.7256222,61.930595
5.2934065,4.6079974,0.68540907,12.948356
1.2285303,1.9002161,0.6716858,54.67393
3.1370595,3.8065457,0.6694863,21.341206
7.5706773,6.9243674,0.64630985,8.537014
2.4394343,3.0763192,0.6368849,26.107895
3.2029083,2.588891,0.61401725,19.170616
2.2333946,2.8003707,0.5669761,25.386292
0.6607053,1.2236328,0.5629275,85.20099
2.3245292,2.8865297,0.5620005,24.17696
3.8511674,3.3224254,0.5287421,13.729397
2.623592,3.1341186,0.51052666,19.459072
0.9859322,1.4666619,0.48072976,48.758907
3.752361,3.289712,0.4626491,12.329547
2.1815145,1.7379675,0.443547,20.332067
3.2873952,3.7289958,0.44160056,13.433145
0.66949946,1.1033974,0.4338979,64.809296
9.260376,8.84916,0.41121578,4.4405947
0.54152846,0.9417645,0.400236,73.908585
0.79916924,0.40280753,0.3963617,49.596714
0.47617984,0.8518214,0.37564158,78.8865
0.55591846,0.9292774,0.37335896,67.16074
3.2621841,3.6315327,0.36934853,11.322124
1.7118541,2.0551617,0.3433076,20.054724
1.352935,1.6817284,0.3287934,24.302233
0.7301967,0.4024559,0.32774082,44.883907
2.467876,2.7818594,0.31398344,12.722821
0.38052866,0.68751824,0.30698958,80.67449
4.327595,4.630656,0.30306053,7.002978
1.4706755,1.2085779,0.2620976,17.821579
0.665103,0.41504005,0.25006297,37.59763
0.70896655,0.4644059,0.24456066,34.495373
0.75077885,0.97292566,0.22214681,29.588848
1.7764882,1.9708471,0.19435894,10.940627
0.6937967,0.8773061,0.18350941,26.450026
0.668371,0.4940763,0.17429471,26.077538
0.1531261,0.0,0.1531261,100.0
2.0643027,2.214816,0.15051341,7.2912474
0.32896188,0.47120115,0.14223927,43.23883
0.17525712,0.31631523,0.14105812,80.48639
4.8352246,4.9677563,0.13253164,2.7409616
0.53941983,0.41126546,0.12815437,23.757814
0.39015996,0.5092193,0.119059324,30.515516
0.21281838,0.33085266,0.11803427,55.462444
2.6009605,2.7157006,0.11474013,4.4114523
0.15280904,0.2548888,0.102079764,66.80218
0.15302488,0.25388107,0.100856185,65.90836
0.23365347,0.3255759,0.09192242,39.341343
1.6152636,1.524147,0.09111655,5.6409707
2.138951,2.0484185,0.09053254,4.2325673
0.15283063,0.06532542,0.087505214,57.256332
0.21856816,0.30353382,0.08496566,38.873756
0.7887764,0.8723682,0.08359182,10.597658
0.22809215,0.31128398,0.08319183,36.4729
0.19855809,0.11619393,0.082364164,41.481144
0.26526955,0.34553775,0.080268204,30.25911
0.29235125,0.36420003,0.07184878,24.576183
0.30952588,0.37948018,0.069954306,22.60047
0.15347931,0.20938951,0.0559102,36.428493
0.21291323,0.26708576,0.05417253,25.443478
3.9997547,4.050923,0.051168203,1.2792835
0.3836259,0.33671921,0.04690668,12.227194
0.43502,0.38988125,0.045138747,10.376246
0.15965869,0.2028256,0.04316692,27.037
1.57171,1.6107812,0.039071202,2.485904
0.35966077,0.32353386,0.03612691,10.044719
0.19951321,0.23496202,0.035448804,17.767647
16.818077,16.784197,0.033880234,0.20145129
1.568205,1.5417299,0.026475072,1.6882405
0.27338108,0.2955469,0.022165805,8.108024
0.27740782,0.29765636,0.020248532,7.299193
0.16094269,0.18032259,0.019379899,12.0414915
0.3350262,0.35440174,0.019375533,5.783289
0.31375897,0.33087406,0.017115086,5.4548516
0.34242207,0.35691613,0.0144940615,4.2328057
0.37583524,0.38997397,0.014138728,3.7619486
3.5549102,3.546821,0.008089066,0.22754627
0.416357,0.4123039,0.004053116,0.9734713
0.31810504,0.32061264,0.0025075972,0.78829217
1.1464664,1.1449168,0.0015496016,0.13516328
