,Best Equation,R2,MAE
Kp,"complexity                                                      16
loss                                                      0.000371
equation         (log(log((0.98202133 / T1_T2_ratio) + T1_T2_ra...
score                                                     0.640487
sympy_format     -0.4346277*log(K) - 0.06374049*log(log(T1_T2_r...
lambda_format    PySRFunction(X=>-0.4346277*log(K) - 0.06374049...
Name: 12, dtype: object",0.9966813693239313,0.017272613279529617
Ki,"complexity                                                      13
loss                                                      0.000413
equation         (log(K_T1 + (K_T2 / sqrt(T1_T2_ratio + 1.11681...
score                                                      0.11997
sympy_format     0.42350703 - 0.43641073*log(K_T1 + K_T2/(T1_T2...
lambda_format    PySRFunction(X=>0.42350703 - 0.43641073*log(K_...
Name: 6, dtype: object",0.9996314168152763,0.0010695694940385208
Kd,"complexity                                                      19
loss                                                      0.133131
equation         (-3.2601624 / ((T1 / (((K_T1 + (T1_T2_ratio * ...
score                                                     0.177929
sympy_format     -1*(-1.343088) - 3.2601624/(T1/((K_T1 + T1_T2_...
lambda_format    PySRFunction(X=>-1*(-1.343088) - 3.2601624/(T1...
Name: 15, dtype: object",0.8659198379958806,0.6728048105898329
