Region,Parameter,R2_log,MAE_log,Samples
10-20 & 30-75,Ki,0.9893746376037598,0.07582024484872818,32
K<1 & T1<1,Ki,0.987617552280426,0.0871143639087677,21
5-10 & 30-75,Ki,0.9861178398132324,0.1153051108121872,10
20-30 & 30-75,Kp,0.9825797080993652,0.056016840040683746,23
1-5 & T1<1,Ki,0.9807316660881042,0.10823403298854828,72
10-20 & 30-75,Kp,0.9733340740203857,0.051633842289447784,32
K<1 & T1<1,Kp,0.9725885987281799,0.06187102198600769,21
20-30 & 30-75,Kd,0.9643953442573547,0.2889666259288788,23
5-10 & T1<1,Ki,0.9434285759925842,0.09984112530946732,113
5-10 & 30-75,Kp,0.9390239119529724,0.09428773075342178,10
5-10 & T1<1,Kd,0.9390111565589905,0.3668058216571808,113
10-20 & 30-75,Kd,0.9365015625953674,0.3614918887615204,32
20-30 & 30-75,Ki,0.9171672463417053,0.16287167370319366,23
1-5 & T1<1,Kp,0.9154873490333557,0.09345582127571106,72
1-5 & T1<1,Kd,0.9047508239746094,0.48117268085479736,72
5-10 & T1<1,Kp,0.8969346880912781,0.06105894222855568,113
5-10 & 30-75,Kd,0.8708065152168274,0.5320509076118469,10
K<1 & T1<1,Kd,0.8613842725753784,0.5545838475227356,21
