type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,ISE,SSE,SettlingTime,RiseTime
PT1,2.460594400628076,25.36070683973917,,,,,[2.460594400628076],"[25.360706839739166, 1]",1,20,0.8456955537335538,0.5187620078888756,0.8380887855896426,13.30665332666333,4.602301150575287,199.0,good,-36.29694868529326,199.0,0.15924911946815284,0.06984781964615895
PT1,1.8540857283081156,20.371575823006985,,,,,[1.8540857283081154],"[20.371575823006985, 1]",1,20,1.7485241263539777,0.3337656904616928,0.0958564800004689,15.20760380190095,4.502251125562781,199.0,good,-45.91345727587992,199.0,0.16294243106205933,0.12311950360025183
PT1+Td,1.865697649038674,15.808944901398274,,3.660970866532857,,,[1.865697649038674],"[15.808944901398274, 1]",1,20,2.8357070401443334,0.916535123628207,0.0156836280471215,7.603801900950475,2.2011005502751373,199.0,good,-14.347899366862821,199.0,0.31929875508931704,0.25125104706480017
PT1,0.910506866396759,8.120765431018974,,,,,[0.910506866396759],"[8.120765431018974, 1]",1,20,1.413367278278794,0.3325748188553508,0.4491013933381207,17.008504252126063,4.902451225612806,199.0,good,-9.39644516816569,199.0,0.18386334299058832,0.1083619901924739
PT1,1.7904543188602409,40.92905924577398,,,,,[1.7904543188602409],"[40.92905924577398, 1]",1,20,2.3805336661792085,0.776470298211263,0.1593596480342606,14.807403701850925,4.902451225612806,199.0,good,-53.7527063913741,199.0,0.11877329583321752,0.09092247678521431
Osc2,2.064531545301958,,,,0.6791815962088663,1.1421740102401916,[2.6933083069154025],"[1, 1.5514871348464307, 1.3045614696681613]",1,20,2.7028632346465407,0.0875593834812882,0.8922534835702179,0.80040020010005,0.400200100050025,199.0,good,346.8810744280842,199.0,0.9584358375986599,0.5335035437526985
Osc2,2.425466179785645,,,,0.5373785539814269,0.8704379603151979,[1.8376841455092994],"[1, 0.9355093848894473, 0.7576622427576821]",1,20,2.0072859451589227,0.1035659881669027,0.7485877510904153,1.200600300150075,0.5002501250625312,199.0,good,167.89851282260113,199.0,0.9632188069950895,0.6861793248786799
Osc2,1.4748783870154798,,,,0.7389633239259361,1.3549550365086924,[2.707733878004923],"[1, 2.0025241550973027, 1.8359031509602721]",1,20,1.2993179935685168,0.5820275921749873,0.4927263327920494,87.14357178589295,0.7003501750875437,199.0,good,4.048585366052521,199.0,0.7645972526699535,0.5187999308241541
PT1,1.0652965698358194,49.426818362645605,,,,,[1.0652965698358194],"[49.426818362645605, 1]",1,20,1.4459534635340523,0.8548939983412615,0.9359413817611686,22.01100550275137,8.004002001000499,199.0,good,-152.00186363827515,199.0,0.05724423060774315,0.031231263992653406
PT1,0.7205076199611994,36.37241601197204,,,,,[0.7205076199611994],"[36.372416011972035, 1]",1,20,1.743138270125809,0.4188685394913816,0.9135606725605911,32.416208104052025,11.50575287643822,199.0,good,-184.16903855060934,199.0,0.05354370674015044,0.029075740951738246
PT1,1.6380153222180889,6.671865898438502,,,,,[1.6380153222180889],"[6.671865898438502, 1]",1,20,0.6621696593052646,0.987155959290194,0.6070866703832221,6.4032016008004,2.301150575287644,199.0,good,-7.013337090060646,199.0,0.302262446602563,0.1482733998401809
PT2+Td,2.6002832935817244,12.4014726540558,2.3851449984850768,4.997714376264823,,,[2.6002832935817244],[29.57931047 14.78661765  1.        ],1,20,0.9176774015232212,0.0677626057745581,0.579617026864886,21.61080540270135,6.3031515757878935,0.0,good,,,,
PT1,0.6550379875786381,9.245337407858758,,,,,[0.6550379875786381],"[9.245337407858758, 1]",1,20,0.55870115148365,0.8368202563804685,0.2447784942373024,12.906453226613303,5.102551275637818,199.0,good,-27.286147968254507,199.0,0.07788779029672022,0.05251774966684962
Osc2,2.2792767562278096,,,,0.8012877801606665,1.553357251939047,[5.499709626445417],"[1, 2.4893723684054243, 2.412918752151628]",1,20,1.443584662781741,0.5650661493468824,0.2712402457480044,1.0005002501250624,0.5002501250625312,199.0,good,3.021172954449422,199.0,0.9447459667003735,0.6295237575731121
PT2,2.8881900638881004,2.5625414495272167,12.77372982726059,,,,[2.8881900638881004],[32.73321215 15.33627128  1.        ],1,20,2.266555874201058,0.5261551372336195,0.6117675945768212,7.503751875937969,2.901450725362681,0.4500256135271693,good,,,,
Osc2,1.993481388939074,,,,0.5016586589862676,1.6241896969414462,[5.258788298352735],"[1, 1.6295776506139166, 2.637992171650747]",1,20,2.592917010395813,0.2170588081183936,0.952313126513618,0.5002501250625312,0.2001000500250125,199.0,good,59.395331152380116,199.0,0.8956462715126838,0.2219462444486774
PT1+Td,2.062004004390261,1.9687133503527807,,1.3117494182828155,,,[2.0620040043902614],"[1.9687133503527807, 1]",1,20,0.5684864625181852,0.5900558616298881,0.2958468357211667,4.8024012006003,1.4007003501750874,199.0,good,-1.1732904476954225,199.0,0.5298720501581162,0.23960459358792557
PT1,2.153964679195508,46.25019217930269,,,,,[2.153964679195508],"[46.250192179302694, 1]",1,20,2.0905786952678644,0.7817062795732718,0.3532356218423385,14.507253626813403,4.8024012006003,199.0,good,-51.28560572246353,199.0,0.12127738776034713,0.08581793193366091
Osc2,2.2890963288201283,,,,0.8408712441614313,1.9520626393191831,[8.722712691618852],"[1, 3.282866680410738, 3.8105485478257752]",1,20,2.148682398792276,0.3674380652509964,0.2772738412146444,0.6003001500750375,0.3001500750375187,199.0,good,13.302414874278632,199.0,0.9042639254622397,0.40569010091007857
PT1,0.592069616382233,3.846874181775502,,,,,[0.592069616382233],"[3.846874181775502, 1]",1,20,0.619719434467467,0.9513634068848846,0.2658740324840076,8.704352176088044,3.4017008504252124,199.0,good,-7.620114267051064,199.0,0.16400008488195156,0.10692132891311945
PT1+Td,0.7262848845038845,34.370124334647016,,2.729979211396617,,,[0.7262848845038845],"[34.370124334647016, 1]",1,20,1.2134911332743106,0.0895490059945067,0.1133336472973846,74.33716858429214,24.212106053026517,199.0,good,-357.6289622740152,199.0,0.02810035780928097,0.02060613034933425
PT1,1.0864436365752463,6.29240019720725,,,,,[1.0864436365752463],"[6.29240019720725, 1]",1,20,2.312767155321682,0.8075206685263043,0.9787570712772212,8.204102051025512,2.101050525262631,199.0,good,-6.631686282669012,199.0,0.40060404287592877,0.20206379541264433
PT1,1.241996493548768,40.59920830605826,,,,,[1.241996493548768],"[40.59920830605826, 1]",1,20,2.110539016047615,0.9845100873192524,0.6094930282863121,16.50825412706353,5.802901450725362,199.0,good,-59.534184315067705,199.0,0.0913129494451408,0.060172390541287736
PT1,2.1034913922864744,27.6052327535705,,,,,[2.1034913922864744],"[27.6052327535705, 1]",1,20,0.949913288979821,0.4623620635291973,0.3886367922495294,15.507753876938468,5.402701350675337,199.0,good,-50.986935312163084,199.0,0.10833238021923443,0.06558656367584217
