type,K,T1,T2,Td,zeta,omega_n,sprunghoehe_target,sprungzeit_target,Ks,Tu,Tg,method,sprunghoehe_actual,sprungzeit_actual,Kp,Ki,Kd,overshoot_percent,steady_state_error
Osc2,1.8468289561862967,,,,0.859431738176683,0.5277112609859533,1.0,23.0,0.9999999999999999,0.5748678968170027,5.247831363282122,CHR,0.9999999999999999,5.2,5.4772563147174615,1.0437180495243374,1.5743494089846368,0.0,1.2294896212239337e-09
Osc2,1.245321312195506,,,,0.8659744007606007,0.5639596580022853,0.99,20.3,0.99,0.5355200943694081,4.93037772414882,CHR,0.99,4.800000000000001,5.579823694802597,1.1317233702953047,1.4940538558026728,1.010101010101011,0.009999998771075824
PT2+Td,1.7882420416332465,9.890468641622576,17.449453624511467,1.9890531125062476,,,1.07,22.0,1.07,5.524831997934481,42.2026026479853,CHR,1.07,46.800000000000004,4.283390126522107,0.10149587603044645,11.83250541532298,-0.8077228166650163,0.0761588955766177
PT2+Td,2.2545259941724334,44.600277248059314,12.881889202796646,2.1612787181553563,,,1.0,25.0,0.9999999999999999,8.221282214181578,82.07799833912858,ZN,0.9999999999999999,104.6,11.980320762746045,0.7286163186370239,49.24679900347716,23.061582271411062,3.1507758362359084e-05
Osc2,1.197307949309566,,,,0.7189786191018845,0.2794455378292495,1.09,19.5,1.09,1.1778385816495898,9.103375166004017,CHR,1.09,7.800000000000001,4.254430343461865,0.46734648038562315,2.50551610073505,-8.256880733944962,0.09001180100341222
PT1+Td,0.5584887181881399,11.627919525583783,,4.8075518583493135,,,1.06,26.8,1.06,4.799570003114262,16.52777619364162,ZN,1.06,25.5,3.8984096530307957,0.40612072024173657,9.355345015268842,-3.530870736066976,0.060046199641111686
PT2+Td,1.3013830743606276,34.92639063150506,13.886755901596853,1.949173797184657,,,0.96,2.2,0.9599999999999999,7.775216316091772,71.97478977941151,CHR,0.9599999999999999,86.0,5.785593838596071,0.0803836156566455,22.4921218060661,11.385368007465873,0.024875720181739225
PT2+Td,1.912902960712399,44.04106728296267,33.98868982171541,3.8771124739294853,,,0.88,7.2,0.88,14.652464824542015,120.41161371261286,CHR,0.88,131.5,5.603072828662674,0.04653266122681124,41.04941376566347,25.821849548481314,0.09351422831506628
