type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,ISE,SSE,settling_time,rise_time,y_final,Label
PT1+Td,1.4925409600775936,43.281500581707846,,2.0091137011789844,,,[-1.49254096  1.48577053],[43.28150058 44.08516791  0.99546382],1.0455987799614368,95.37543457562951,2.1953172894549846,0.4469371264400947,0.8376940045909759,21.910955477738867,8.104052026013006,0.47589232637278694,9.06150733951101,0.04629561470307908,103.85192596298148,7.903951975987994,0.9993031652583577,good
PT2+Td,0.675514641884702,38.17959992582128,12.277015806177738,3.8806325618788935,,,[-0.67551464  0.34814666],[468.73155176 292.03143339  27.00432529   0.51537989],0.9634111480927774,96.41225723552122,2.502463768796627,0.18684640478080639,0.40909276527402205,57.92896448224111,24.912456228114056,0.7152445811472953,36.581349609909516,-0.0035610237605122608,198.39919959979989,18.90945472736368,0.9669721718532897,good
PT1,2.3005069820445008,29.715505667021407,,,,,[2.3005069820445008],"[29.715505667021407, 1]",1.0429827230558915,71.72717097767978,1.3559758826948007,0.736280774775752,0.10278680469270003,11.705852926463232,4.0020010005002495,0.4256967894396436,4.124055189844964,0.042982585706906384,56.0280140070035,4.8024012006003,1.000000137348985,good
Osc2,2.253289841240875,,,,0.7757763093258294,0.17320628335836147,[0.0675996339460953],"[1, 0.26873866251158696, 0.030000416594817003]",1.041161104336707,27.907343381571327,1.1055826753560447,0.7749425452979525,0.35402918169806535,9.004502251125562,159.87993996998497,3.7912661269425683,134111328.74363115,-849.5227041410246,199.8999499749875,51.02551275637819,850.5638652453613,overshoot
PT2,1.8187455897797917,33.03457958959965,4.414175503336743,,,,[1.8187455897797917],[145.82043199  37.44875509   1.        ],0.8518436247546693,64.02859041100737,2.508636525759803,0.5502880135963981,0.27713061968049785,17.90895447723862,7.20360180090045,0.6797939092792014,19.150028457068654,-0.1804165285231315,192.3961980990495,6.503251625812906,1.0322601532778009,overshoot
PT2,1.4536214474092013,45.52038552068722,20.22573853667867,,,,[1.4536214474092013],[920.68341563  65.74612406   1.        ],1.011415194039863,120.12643214183291,2.482643447944964,0.28944000962062505,0.3319565530243174,43.92196098049024,30.4152076038019,0.009407092204278733,184.94257015582133,-1.443764435567026,199.49974987493746,108.55427713856928,2.455179629606889,overshoot
Osc2,0.6152430240775681,,,,0.7349151216201316,1.4611466433157991,[1.3135127947990293],"[1, 2.147637526154555, 2.134949513273027]",0.963653206380816,3.2871067253394126,2.847709075898527,0.04793578348027025,0.012031836529697549,1.4007003501750874,0.9004502251125562,0.0,4.484899727977842,0.005780753483950907,165.08254127063532,89.54477238619309,0.9578724528968651,good
PT2+Td,2.6359548067524488,43.769088720708574,13.206082412966891,2.679154974626048,,,[-2.63595481  1.9677509 ],[578.01819279 488.46808458  43.53219517   0.74650404],1.1919970814779126,106.58159020934335,1.9869511578508046,0.511287490065019,0.8949591335208674,30.61530765382691,177.88894447223612,2.0953991399657643,3966713.9645182663,-162.9770388950503,199.8999499749875,54.72736368184091,164.16903597652822,overshoot
PT1,0.7949960155714135,18.57489076835691,,,,,[0.7949960155714135],"[18.57489076835691, 1]",0.9631567755638588,39.959195986758374,0.6311168726299281,0.1474616354975726,0.36805768546515083,41.32066033016508,15.20760380190095,0.1674233445358645,8.616517481640226,-0.03660839613126077,97.7488744372186,19.70985492746373,0.9997651716951196,good
Osc2,1.2657963353591706,,,,0.7941832547877754,1.7903227074960688,[4.057200535382493],"[1, 2.8436886299193804, 3.2052553969760544]",1.1318606634999715,3.095607119082632,2.1481122359630893,0.08963765987585198,0.1762108600705281,0.9004502251125562,0.6003001500750375,0.0,7.22002093792482,0.13242472477537204,83.14157078539269,31.51575787893947,0.9994359387245995,slow
PT1,2.187005659561337,38.289456285906354,,,,,[2.187005659561337],"[38.289456285906354, 1]",1.0690300710519616,83.48425801705928,2.706656977553052,0.34768591123884013,0.07938119257260148,17.6088044022011,4.902451225612806,0.18066549871155005,4.041124266451912,0.06903005348031899,34.817408704352175,7.303651825912955,1.0000000175716426,slow
PT2+Td,1.799080456349102,44.446199916277386,5.274151365601201,2.1323539459684877,,,[-1.79908046  1.6874126 ],[234.41598598 269.58627591  47.63423854   0.93793059],1.007414547097049,84.32321256782923,2.563285798856008,0.7972418075936264,0.21226509079098066,22.91145572786393,0.0,-1.8408663340966325,717511.2157566788,244.94372528875326,200.0,0.0,-243.9363107416562,overshoot
PT1,2.5812440871954445,38.771515834696864,,,,,[2.5812440871954445],"[38.771515834696864, 1]",1.0830570031792883,91.72865495394535,1.3396376176243514,0.9855505110925279,0.21578196934928226,11.2056028014007,3.9019509754877437,0.5114565409452558,5.833741340127578,0.08306709405232215,65.33266633316659,4.402201100550275,0.9999899091269662,slow
PT1+Td,1.7026417286002733,34.29620730931948,,3.109514012225126,,,[-1.70264173  1.09511758],[34.29620731 23.05888584  0.64318733],0.9003257739692992,83.17066788837592,2.2191169466458462,0.09468066533526029,0.3420846294629643,28.614307153576785,9.104552276138069,0.06192714946571238,7.0039633335647755,-0.09968565130606166,57.6288144072036,10.605302651325662,1.000011425275361,slow
PT1+Td,0.9964178002986543,24.222956060677937,,2.1940261684224893,,,[-0.9964178   0.90830074],[24.22295606 23.08082694  0.91156616],0.9277639397024717,55.5212527322486,2.4037349742611456,0.5507062546838762,0.29486179545562347,17.808904452226113,7.003501750875437,0.45577854806065937,7.902821216402972,-0.0721947048390379,79.63981990995497,6.203101550775388,0.9999586445415096,slow
