Region,Parameter,R2,MAE,Samples
K: 10-20 | T1: 1-10,Kd,0.9933461546897888,0.07005138695240021,224
K: >30 | T1: T1<1,Kd,0.9930436611175537,0.05250787362456322,129
K: 1-5 | T1: 10-30,Kd,0.992231011390686,0.06916183233261108,18
K: 5-10 | T1: 1-10,Kd,0.9921619892120361,0.059930961579084396,111
K: 10-20 | T1: T1<1,Kd,0.9912524223327637,0.05936596915125847,49
K: >30 | T1: 1-10,Kd,0.9903900027275085,0.0642860159277916,129
K: 1-5 | T1: 1-10,Kd,0.9901012182235718,0.059305500239133835,67
K: 20-30 | T1: T1<1,Kd,0.9890289902687073,0.08838636428117752,72
K: 20-30 | T1: 1-10,Kd,0.9865331649780273,0.06126405671238899,74
K: 5-10 | T1: T1<1,Kd,0.9752804040908813,0.13562701642513275,22
K: >30 | T1: 1-10,Ki,0.9664918780326843,0.45453011989593506,129
K: 5-10 | T1: 1-10,Ki,0.9590897560119629,0.45504504442214966,111
K: 20-30 | T1: T1<1,Ki,0.957884669303894,0.4357350170612335,72
K: >30 | T1: T1<1,Ki,0.9089330434799194,0.4736066162586212,129
K: 10-20 | T1: T1<1,Ki,0.9029020071029663,0.7292844653129578,49
K: 10-20 | T1: 1-10,Ki,0.8898901343345642,0.6244240403175354,224
K: 20-30 | T1: 1-10,Ki,0.8818434476852417,0.4644443988800049,74
K: 5-10 | T1: T1<1,Ki,0.86725252866745,0.6445968151092529,22
K: 1-5 | T1: 1-10,Ki,0.8542769551277161,0.6603351831436157,67
K: 1-5 | T1: 10-30,Ki,0.7530521154403687,0.5890315771102905,18
K: 20-30 | T1: T1<1,Kp,0.9854045510292053,0.3119140863418579,72
K: >30 | T1: 1-10,Kp,0.9794518351554871,0.33591195940971375,129
K: 20-30 | T1: 1-10,Kp,0.9780123829841614,0.31739306449890137,74
K: 5-10 | T1: 1-10,Kp,0.976834774017334,0.33125194907188416,111
K: >30 | T1: T1<1,Kp,0.975128173828125,0.30057933926582336,129
K: 10-20 | T1: T1<1,Kp,0.9738487005233765,0.42496439814567566,49
K: 1-5 | T1: 10-30,Kp,0.9494150876998901,0.5461524128913879,18
K: 5-10 | T1: T1<1,Kp,0.9373791217803955,0.4674432575702667,22
K: 1-5 | T1: 1-10,Kp,0.9359140396118164,0.4041394591331482,67
K: 10-20 | T1: 1-10,Kp,0.9241309762001038,0.4233717620372772,224
