y_true,y_pred,abs_error,rel_error_%
6.386223,6.834623,0.44840002,7.021365
0.07955792,0.062945254,0.016612664,20.88122
7.9745564,7.7434654,0.23109102,2.8978543
1.7306134,2.0786119,0.3479985,20.10839
35.866913,40.767315,4.900402,13.662738
7.8331556,10.326639,2.4934835,31.832428
26.904114,16.296793,10.607321,39.426388
2.946312,2.8043065,0.14200544,4.8197694
20.760942,15.444908,5.3160343,25.60594
0.31958815,0.48021913,0.16063097,50.261868
43.807137,28.1531,15.654037,35.73399
1.4462426,2.0663793,0.62013674,42.87916
0.73614216,0.5653297,0.17081249,23.203737
2.6348686,2.7452383,0.11036968,4.188812
20.16218,11.806318,8.355862,41.443245
1.5069735,1.7042098,0.1972363,13.088239
5.6463118,5.5443935,0.10191822,1.8050406
0.885307,1.431159,0.545852,61.656803
2.2380123,1.9351277,0.30288458,13.533642
0.17848691,0.3402237,0.16173679,90.61549
4.5164495,2.890961,1.6254885,35.99041
0.59968364,0.7155353,0.11585164,19.318792
0.652991,0.8122684,0.15927738,24.391972
11.962309,10.203,1.7593088,14.707101
0.38175705,0.3331242,0.04863286,12.739218
1.0801215,1.4881608,0.40803933,37.77717
0.41102964,0.48246402,0.07143438,17.379374
2.6329205,2.4638827,0.16903782,6.420164
4.844021,4.9833207,0.13929987,2.8757074
1.0113134,1.2937396,0.28242612,27.926664
0.6659182,1.0322065,0.36628836,55.005013
25.973572,28.054989,2.081417,8.013596
3.543766,3.6978955,0.1541295,4.3493137
5.757605,4.055618,1.7019873,29.560682
5.083913,7.0620813,1.9781685,38.910355
1.3294537,1.5130715,0.18361783,13.811524
4.6855097,4.425373,0.2601366,5.551938
0.55749536,0.9653927,0.40789735,73.16605
2.1910858,2.160864,0.0302217,1.3793025
12.420985,7.27248,5.148505,41.450054
0.5813207,0.5640811,0.01723963,2.9655972
0.91003,0.9397392,0.02970922,3.2646418
0.05414433,0.1006098,0.04646547,85.8178
0.15791948,0.19324958,0.0353301,22.372225
0.63073105,0.61957455,0.011156499,1.7688204
12.508722,9.7447195,2.7640028,22.096603
0.44854265,0.49928206,0.050739408,11.312058
5.9333925,6.081964,0.14857149,2.503989
3.9468007,3.6347852,0.31201553,7.9055305
3.4647396,4.1336594,0.6689198,19.306498
0.16767314,0.1836204,0.015947253,9.510917
0.040303115,0.016034136,0.02426898,60.21614
0.6851201,0.6074097,0.07771039,11.342594
73.796646,63.97767,9.818977,13.305451
8.059147,5.8829618,2.1761851,27.002674
1.0190467,1.210021,0.19097435,18.740492
0.4124755,0.39694563,0.015529871,3.7650409
2.2747464,1.8480392,0.42670727,18.758453
3.0915704,3.8197007,0.72813034,23.552118
2.6953893,2.8423214,0.14693213,5.4512396
0.48077443,0.33835506,0.14241937,29.622908
0.6939997,0.82321227,0.12921256,18.618532
1.8821427,2.0227735,0.14063084,7.471848
1.8404356,1.9088342,0.068398595,3.716435
0.33345875,0.36432108,0.030862331,9.255218
0.3373548,0.33473843,0.0026163757,0.7755561
0.71521485,1.1484592,0.43324435,60.575417
8.089519,7.9913588,0.09815979,1.2134194
4.4329343,3.52076,0.9121742,20.577211
1.6778519,3.7481127,2.0702608,123.38757
0.2915206,0.32357502,0.032054424,10.995595
0.44944063,0.47016224,0.020721614,4.610534
50.786175,30.011751,20.774424,40.905666
0.58982515,0.5787356,0.011089563,1.8801442
